runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error,total_sketch_queries,approach
0.0016429424285888,3000311,3002919.0,1,1,17,17,17,17,6,4,3,4,0,2608.0,0.0002173696340622,0.000869243221786,52,12 M
0.0077123641967773,779649,961356.0,1,1,730,730,730,730,673,24,29,4,0,181707.0,0.0151447791781227,0.2330625704644013,2191,12 M
0.0033619403839111,2924847,2929045.0,1,1,42,42,42,42,6,5,15,16,0,4198.0,0.0003498917652581,0.001435288751856,127,12 M
0.0016019344329833,106759,107921.0,3,1,17,17,17,7,2,2,1,2,0,1162.0,9.684950720103593e-05,0.0108843282533556,44,12 M
0.0069384574890136,111613,278121.0,1,1,676,676,676,676,613,30,29,4,0,166508.0,0.0138779842900431,1.4918333885837671,2029,12 M
0.0014126300811767,428142,429931.0,1,1,13,13,13,13,1,5,3,4,0,1789.0,0.0001491082344084,0.0041785202105843,40,12 M
0.002138614654541,2925294,2928382.0,1,1,24,24,24,24,6,5,5,7,1,3088.0,0.0002573763151779,0.0010556203923434,73,12 M
0.0021231174468994,102580,105836.0,1,1,24,24,24,24,6,5,5,7,1,3256.0,0.0002713786535684,0.0317410801325794,73,12 M
0.0014233589172363,0,0.0,7,0,17,17,0,0,0,0,0,0,0,0.0,0.0,0.0,24,12 M
0.1499767303466797,612708,7386658.0,7,7,17824,4481,31367,27211,25646,144,1323,98,0,6773950.0,0.5645901198833538,11.055755759676714,76409,12 M
0.2621943950653076,731814,3933256.0,1,1,115496,15246,15246,15244,7287,7264,625,68,0,3201442.0,0.2668313941761607,4.374666240328827,145987,12 M
0.0017166137695312,2994148,2996912.0,1,1,17,17,17,17,6,4,3,4,0,2764.0,0.0002303718054248,0.0009231340601733,52,12 M
0.0006277561187744,1714622,1714622.0,1,1,5,5,5,5,0,0,0,0,5,0.0,0.0,0.0,16,12 M
0.0235507488250732,2722216,2932179.0,1,1,5401,899,899,899,685,157,48,9,0,209963.0,0.017499839139803,0.0771294416019889,7200,12 M
0.0270524024963378,2743324,2953395.0,1,1,5497,924,924,924,681,177,58,8,0,210071.0,0.017508840643054,0.0765753516536872,7346,12 M
0.0225756168365478,1185438,1322656.0,1,1,5401,644,644,644,352,262,27,3,0,137218.0,0.0114367432694593,0.1157529959390537,6690,12 M
0.047408103942871,459051,444651.0,1,1,360,162,162,162,0,0,0,162,0,14400.0,0.0012002004334723,0.0313690635681002,685,12 M
0.0037956237792968,38937,74557.0,54,36,17,17,612,237,85,38,48,66,0,35620.0,0.0029688291277976,0.9148111051185248,920,12 M
0.0018043518066406,314470,316150.0,1,1,17,17,17,12,4,2,2,4,0,1680.0,0.0001400233839051,0.0053423220020987,47,12 M
0.0662708282470703,240769,1733723.0,1,1,21047,6859,6859,6582,4182,2376,7,17,0,1492954.0,0.124433613746829,6.200773355373823,34489,12 M
0.0018415451049804,1297218,1301808.0,7,7,13,13,91,51,7,9,7,28,0,4590.0,0.0003825638881693,0.0035383412811108,162,12 M
0.0016627311706542,428560,431211.0,1,1,17,17,17,17,6,4,3,4,0,2651.0,0.0002209535659121,0.0061858316221765,52,12 M
0.0583667755126953,237721,948424.0,21,21,5401,843,17703,3578,1195,2255,102,26,0,710703.0,0.0592351422687588,2.989651734596438,26703,12 M
0.0689311027526855,1502645,2585734.0,1,1,21591,5212,5212,5212,2380,2484,348,0,0,1083089.0,0.0902724921728595,0.7207883432214528,32016,12 M
0.0467920303344726,249680,275601.0,1,1,425,102,102,102,0,0,0,102,0,25921.0,0.0021604441275026,0.1038168856135853,630,12 M
0.0331892967224121,579545,573200.0,1,1,425,204,204,204,0,0,0,204,0,6345.0,0.0005288383159987,0.0109482438809755,834,12 M
0.000894546508789,5999286,5999286.0,21,7,5,5,35,23,0,0,0,0,23,0.0,0.0,0.0,84,12 M
0.023256778717041,368260,531389.0,1,1,5401,827,827,728,513,168,38,9,0,163129.0,0.0135963539244387,0.4429723564872644,6957,12 M
0.0279512405395507,1919518,1964788.0,1,1,8257,196,196,196,150,28,15,3,0,45270.0,0.0037731301127288,0.0235840455781086,8650,12 M
0.0502948760986328,1806638,2759623.0,1,1,17819,3799,3799,3799,3555,23,205,16,0,952985.0,0.0794286812564365,0.5274908421056127,25418,12 M
0.0235893726348876,398913,599754.0,1,1,5401,952,952,861,632,191,28,10,0,200841.0,0.0167395455040991,0.503470681577186,7215,12 M
0.0109388828277587,111062,333931.0,1,1,946,946,946,946,673,254,16,3,0,222869.0,0.0185755187783026,2.006707964920495,2839,12 M
0.2575926780700683,104646,1079028.0,1,1,121957,15536,15536,5208,1409,3106,625,68,0,974382.0,0.0812120624144232,9.31122068688722,142702,12 M
0.0233254432678222,2827138,2851908.0,1,1,5497,128,128,128,60,42,21,5,0,24770.0,0.0020645114400771,0.0087615107575222,5754,12 M
0.0190186500549316,2307854,2512594.0,1,1,4849,829,829,829,780,0,40,9,0,204740.0,0.0170645164409122,0.088714450740818,6508,12 M
0.0018324851989746,427587,429510.0,1,1,17,17,17,17,1,5,8,3,0,1923.0,0.0001602767662199,0.0044973303678549,52,12 M
0.0252280235290527,553017,487573.0,1,1,360,162,162,162,0,0,0,162,0,65444.0,0.0054545775811227,0.1183399425334121,685,12 M
0.0016584396362304,428140,430712.0,1,1,17,17,17,17,6,4,3,4,0,2572.0,0.0002143691329785,0.0060073807633017,52,12 M
0.0476446151733398,684849,614476.0,1,1,360,198,198,198,0,0,0,198,0,70373.0,0.00586539618783,0.1027569581031731,757,12 M
0.0017523765563964,257225,259770.0,3,3,17,17,51,20,5,2,6,7,0,2545.0,0.0002121187571657,0.0098940616192049,91,12 M
