estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
68661530.0,1.5546,-1,54,36,17,17,612,163,15,45,27,76,0,25,68661505.0,114.44843099407602,2746460.2
1429388614.0,28.9722,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,27,1429388587.0,2382.5763950701244,52940318.03703704
513042594.0,4.9179,-1,1,1,5401,657,657,193,152,32,0,9,0,25,513042569.0,855.1650164851467,20521702.76
809547311.0,0.3193,-1,1,1,3,3,3,3,1,0,1,1,0,24,809547287.0,1349.3939116636163,33731136.958333336
1279247880.0,22.07,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,25,1279247855.0,2132.314312907753,51169914.2
781924617.0,0.4414,-1,7,7,17,17,119,70,21,28,7,14,0,25,781924592.0,1303.3510219457473,31276983.68
1271121026.0,0.1444,-1,1,1,13,13,13,13,1,5,3,4,0,25,1271121001.0,2118.7680661539434,50844840.04
507699072.0,3.387,-1,378,252,9,9,2268,1005,22,0,376,607,0,25,507699047.0,846.2581667316738,20307961.88
645733570.0,0.1459,-1,1,1,4,4,4,4,1,2,0,1,0,20,645733550.0,1076.340980841226,32286677.5
-1111197723.0,0.0264,-1,1,1,1,1,1,1,0,0,0,0,1,25,1111197748.0,1852.1999886654198,44447909.92
1364972396.0,3.9595,-1,1,1,919,916,916,916,610,260,46,0,0,24,1364972372.0,2275.204225798171,56873848.833333336
1207504414.0,3.3215,-1,1,1,676,674,674,674,611,30,29,4,0,21,1207504393.0,2012.7287218260676,57500209.190476194
48558017.0,0.2829,-1,1,1,41,41,41,41,15,14,4,7,1,21,48557996.0,80.93889661196064,2312285.523809524
192501746.0,0.2282,-1,3,1,17,17,17,8,4,1,1,2,0,25,192501721.0,320.8714975313951,7700068.84
117736129.0,0.1487,-1,1,1,13,13,13,6,0,3,1,2,0,25,117736104.0,196.24842732700597,4709444.16
1634764823.0,0.2739,-1,1,1,42,42,42,42,6,5,15,16,0,29,1634764794.0,2724.9077298502834,56371199.79310345
461919695.0,10.9789,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,23,461919672.0,769.9508145896049,20083464.0
665124047.0,3.0947,-1,1,1,2617,397,397,397,129,198,62,8,0,25,665124022.0,1108.66198948551,26604960.88
1263150511.0,0.2783,-1,1,1,17,17,17,17,6,4,3,4,0,25,1263150486.0,2105.4824130654374,50526019.44
-1128994860.0,0.0844,-1,1,1,1,1,1,1,0,0,0,0,1,25,1128994885.0,1881.8651468328183,45159795.4
1300203981.0,0.0946,-1,1,1,9,9,9,9,1,0,4,4,0,25,1300203956.0,2167.2449902822646,52008158.24
-1511210874.0,4.5108,-1,1,1,5497,450,450,450,259,120,68,3,0,25,1511210899.0,2518.9619174775894,60448435.96
1536492244.0,70.7783,3,1,1,425,221,221,221,0,0,0,221,0,31,1536492213.0,2561.102076228385,49564264.93548387
1603228259.0,0.1028,-1,1,1,1,1,1,1,0,0,0,0,1,25,1603228234.0,2672.3410141782265,64129129.36
