estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
-8680.011516221197,22.8923,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,2430906,2439586.0115162213,4.066423992499544,1.0035706899058299
37151.3720462544,2.1817,-1,1,1,4849,100,100,79,39,21,18,1,0,254541,217389.6279537456,0.3623559057392073,0.854045627045331
8517.093338461334,0.1075,-1,1,1,17,17,17,17,6,4,3,4,0,3847922,3839404.906661539,6.399712146105303,0.9977865732885279
37700.45006826111,2.9708,-1,1,1,730,727,727,727,670,24,29,4,0,1028549,990848.5499317389,1.6515959254380297,0.9633459853947054
727.2836984824177,0.3404,-1,1,1,42,42,42,42,6,5,15,16,0,3312398,3311670.7163015176,5.520058400259892,0.9997804358961446
36702.793588301465,0.1036,-1,3,1,17,17,17,7,2,2,1,2,0,134725,98022.20641169854,0.16338831673433835,0.7275725100144631
36156.67955997161,2.1094,-1,1,1,676,673,673,384,321,30,29,4,0,140943,104786.32044002839,0.17466308033888459,0.7434659432538572
37037.471734077175,0.1052,-1,1,1,13,13,13,13,1,5,3,4,0,549398,512360.5282659228,0.8540281568737941,0.9325853539072272
10146.036279198088,0.1355,-1,1,1,22,22,22,22,4,5,5,7,1,4389075,4378928.963720802,7.299017831496135,0.9976883429243752
41225.54257538403,0.1159,-1,1,1,24,24,24,19,1,5,5,7,1,162597,121371.45742461598,0.20230801625614814,0.7464556998260483
0.0,0.0624,-1,7,0,17,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0
40705.42457684255,24.2227,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,688001,647295.5754231574,1.0789446429493201,0.9408352246917627
28346.73217373081,41.7665,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,812856,784509.2678262691,1.307659288898894,0.9651269939894264
8403.810092642616,0.1287,-1,1,1,17,17,17,17,6,4,3,4,0,3832426,3824022.1899073576,6.374071464373344,0.9978071826846383
-12942.575044260157,0.0177,-1,1,1,1,1,1,1,0,0,0,0,1,2194623,2207565.5750442604,3.679680723286662,1.0058974024441831
5684.669917894369,4.4409,-1,1,1,5401,693,693,693,484,152,48,9,0,3501515,3495830.3300821055,5.827024856204358,0.9983765113335529
5938.498534020827,4.6982,-1,1,1,5497,720,720,720,482,172,58,8,0,3529669,3523730.501465979,5.873530257438283,0.9983175480380679
-34797.4957573328,3.7678,-1,1,1,5401,524,524,524,240,254,27,3,0,1524815,1559612.4957573328,2.5996401200087558,1.0228207984295359
43839.13734188335,41.9979,3,1,1,360,162,162,162,0,0,0,162,0,772276,728436.8626581166,1.214194999213441,0.943233847300857
38230.13383084577,0.8269,-1,54,36,17,17,612,160,21,31,45,63,0,52839,14608.86616915423,0.024350788868699274,0.27647885405011885
36779.89174171297,0.1095,-1,1,1,17,17,17,12,4,2,2,4,0,396557,359777.108258287,0.599694480156629,0.9072519417341947
33456.0049600868,19.1042,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0,333315,299858.9950399132,0.499819971930101,0.8996264645752913
-28895.132422957395,0.25,-1,7,7,13,13,91,49,7,7,7,28,0,1660592,1689487.1324229573,2.8161216607542787,1.017400500799087
37066.90892591214,0.1021,-1,1,1,17,17,17,17,6,4,3,4,0,548426,511359.0910740879,0.8523589112703862,0.9324121961287173
36920.48393370539,10.544,-1,21,21,5401,606,12726,1849,58,1686,84,21,0,301936,265015.51606629463,0.4417411183001707,0.8777208284745596
-13823.81850724674,20.2735,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,2497432,2511255.8185072467,4.185886811728034,1.0055352131738708
41471.26798938103,41.4712,3,1,1,425,102,102,102,0,0,0,102,0,406274,364802.73201061896,0.6080714412095647,0.8979229091958111
35501.56756397915,40.8576,3,1,1,425,204,204,204,0,0,0,204,0,820295,784793.4324360208,1.30813294868439,0.9567209753028127
-5868.222945711661,0.0662,-1,21,7,1,1,7,7,0,0,0,0,7,7671537,7677405.222945712,12.797083050711764,1.0007649344512985
37105.33987783595,3.9885,-1,1,1,5401,590,590,282,98,139,36,9,0,468213,431107.66012216406,0.7185918119695901,0.9207511541161054
-7475.151590986649,3.9143,-1,1,1,8257,196,196,196,150,28,15,3,0,2464182,2471657.1515909866,4.119881772980006,1.0030335225202467
-6372.4536465723,12.9334,-1,1,1,16481,1853,1853,1853,1612,20,205,16,0,2612248,2618620.4536465723,4.3648475559754445,1.0024394520147293
36871.56884397338,3.5918,-1,1,1,5401,675,675,312,117,159,26,10,0,516900,480028.4311560266,0.8001354001540613,0.9286678877075384
29216.12007874016,3.038,-1,1,1,946,937,937,623,351,253,16,3,0,112235,83018.87992125984,0.1383800216711502,0.7396879754199656
32482.813112967677,39.8881,-1,1,1,110214,2260,2260,765,67,173,457,68,0,134452,101969.18688703232,0.16996734121925466,0.7584058763501645
6825.988476078921,2.3528,-1,1,1,5497,128,128,128,60,42,21,5,0,3633658,3626832.011523921,6.045385011557807,0.9981214554379969
-23.005988023952096,3.6171,-1,1,1,4849,546,546,546,499,0,38,9,0,2960528,2960551.005988024,4.934794504042151,1.0000077709070896
36961.85440022421,0.1042,-1,1,1,17,17,17,17,1,5,8,3,0,545152,508190.1455997758,0.847076754442615,0.932198993307877
