estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,true_counts,absolute_error,normalized_error,relative_error
150031,0.195609,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,149930,101,0.0001683518520370574,0.0006736477022610552
85856,0.05939,-1,1,1,1,1,1,1,0,0,0,0,0,0,1,85856,0,0.0,0.0
144184,6.176531,-1,1,1,5401,693,693,693,484,152,48,9,0,0,0,137390,6794,0.011324579037027407,0.04945046946648227
145333,6.515795,-1,1,1,5497,720,720,720,482,172,58,8,0,0,0,138498,6835,0.011392919887854331,0.04935089315369175
64653,5.524773,-1,1,1,5401,524,524,524,240,254,27,3,0,0,0,59862,4791,0.00798587844662913,0.08003407838027463
22865,83.382617,3,1,1,360,162,162,162,0,0,0,162,0,0,0,23709,844,0.001406821417022539,0.03559829600573622
2709,0.964438,-1,54,36,17,17,612,160,21,31,45,63,0,0,0,2021,688,0.001146792813876193,0.3404255319148936
15726,0.128013,-1,1,1,17,17,17,12,4,2,2,4,0,0,0,15658,68,0.00011334580137148419,0.004342827947375144
36736,23.143214,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0,0,0,12900,23836,0.039731037080745546,1.8477519379844962
65482,0.261543,-1,7,7,13,13,91,49,7,7,7,28,0,0,0,65320,162,0.0002700297032673594,0.0024800979791794243
21613,0.170921,-1,1,1,17,17,17,17,6,4,3,4,0,0,0,21488,125,0.00020835625252111067,0.005817200297840656
25504,14.774547,-1,21,21,5401,606,12726,1850,59,1686,84,21,0,0,0,11861,13643,0.0227408348251641,1.1502402832813423
111888,23.247255,-1,1,1,20126,3772,3772,3772,1299,2125,348,0,0,0,0,80162,31726,0.052882483739878056,0.3957735585439485
14369,83.617543,3,1,1,425,102,102,102,0,0,0,102,0,0,0,13027,1342,0.002236912727066644,0.10301681123819759
30247,83.756638,3,1,1,425,204,204,204,0,0,0,204,0,0,0,30763,516,0.0008600946104071448,0.016773396612814094
