estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,true_counts,absolute_error,normalized_error,relative_error
21950,0.14608,-1,1,1,33,33,33,33,6,4,23,21755,195,0.0003250357539329326,0.008963456676626062
32583,4.633369,-1,1,1,5785,691,691,691,487,176,28,25667,6916,0.01152793473948801,0.2694510460903105
108768,7.500973,-1,1,1,8641,1225,1225,1225,1003,78,144,96569,12199,0.020333903396040232,0.12632418270873677
42950,0.054135,-1,1,1,1,1,1,1,0,0,1,42949,1,1.6668500201688853e-06,2.328342918345014e-05
83188,6.320977,-1,1,1,8641,836,836,836,499,233,104,75486,7702,0.012838078855340754,0.10203216490475055
143242,20.461173,-1,1,1,19304,4186,4186,4186,1789,2060,337,106435,36807,0.061351748692356156,0.34581669563583406
152943,0.720538,-1,1,1,184,184,184,184,4,5,175,152174,769,0.0012818076655098727,0.005053425683756752
25961,3.061802,-1,462,308,5,5,1540,1251,242,493,516,17482,8479,0.014133221321011979,0.4850131563894291
119031,18.653723,-1,1,1,20102,3557,3557,3557,1141,2066,350,89146,29885,0.049813812852747136,0.33523657819756353
11324,2.603719,-1,1,1,919,918,918,617,312,259,46,5677,5647,0.009412702063893694,0.9947155187599084
5547,0.149446,-1,1,1,33,33,33,13,3,4,6,5466,81,0.0001350148516336797,0.014818880351262349
102077,3.369201,-1,1,1,5785,207,207,207,120,42,45,100245,1832,0.0030536692369493978,0.018275225697042246
48259,3.198115,-1,1,1,919,917,917,917,611,260,46,39432,8827,0.01471328512803075,0.22385372286467844
9407,1.806349,-1,1,1,685,680,680,387,315,0,72,5613,3794,0.00632402897652075,0.675930874755033
156246,0.050586,-1,1,1,5,5,5,5,1,2,2,156211,35,5.833975070591099e-05,0.00022405592435871993
151837,0.107747,-1,1,1,25,25,25,25,1,0,24,151716,121,0.0002016888524404351,0.0007975427772944185
151556,0.136422,-1,1,1,33,33,33,33,6,4,23,151330,226,0.00037670810455816807,0.001493424965307606
43494,0.019394,-1,1,1,1,1,1,1,0,0,1,43492,2,3.3337000403377706e-06,4.5985468591924955e-05
21264,0.013517,-1,1,1,1,1,1,1,0,0,1,21262,2,3.3337000403377706e-06,9.406452826639074e-05
85612,0.018749,-1,1,1,1,1,1,1,0,0,1,85608,4,6.667400080675541e-06,4.6724605177086255e-05
3025,0.470386,-1,54,36,5,5,180,144,28,57,59,2033,992,0.0016535152200075343,0.4879488440727988
53157,7.560275,-1,7,7,5785,790,5530,1388,102,429,857,45141,8016,0.013361469761673784,0.17757692563301655
21610,0.197783,-1,1,1,33,33,33,33,6,4,23,21421,189,0.0003150346538119193,0.008823117501517203
140336,2.680644,-1,1,1,2905,406,406,406,42,181,183,137711,2625,0.004375481302943324,0.019061658110100136
69441,30.978836,-1,1,1,33243,5813,5813,5813,72,1739,4002,38587,30854,0.05142899052229079,0.7995957187653873
18193,0.223451,-1,1,1,29,29,29,25,1,4,20,18061,132,0.00022002420266229285,0.007308565417197276
67972,62.691884,-1,1,1,112113,5631,5631,5631,354,1252,4025,37682,30290,0.05048888711091554,0.803832068361552
48331,3.150383,-1,1,1,919,917,917,917,611,260,46,39342,8989,0.01498331483129811,0.22848355447104876
148660,3.262796,-1,1,1,5785,214,214,214,120,28,66,146880,1780,0.0029669930359006156,0.012118736383442266
42704,0.386263,-1,21,7,33,33,231,98,28,0,70,42096,608,0.0010134448122626823,0.01444317749904979
25583,13.453213,-1,1,1,16623,2755,2755,1475,946,27,502,12657,12926,0.021545703360703012,1.0212530615469702
23160,6.407532,-1,378,252,25,25,6300,2202,29,0,2173,13781,9379,0.015633386339163974,0.6805747043030259
151300,0.139779,-1,1,1,25,25,25,25,1,0,24,151188,112,0.00018668720225891515,0.0007407995343545784
29235,4.753705,-1,1,1,8641,240,240,240,210,21,9,26701,2534,0.004223797951107955,0.0949028126287405
19997,4.740791,-1,1,1,8641,254,254,208,134,14,60,18111,1886,0.0031436791380385176,0.1041356081939153
11331,2.998013,-1,1,1,973,969,969,634,334,254,46,5512,5819,0.009699400267362743,1.0556966618287373
11476,2.99424,-1,1,1,973,971,971,636,336,254,46,5655,5821,0.009702733967403081,1.0293545534924846
26675,4.163227,-1,7,7,5785,177,1239,470,274,49,147,22678,3997,0.006662399530615034,0.17625011023899814
42896,0.049809,-1,3,1,1,1,1,1,0,0,1,42892,4,6.667400080675541e-06,9.325748391308402e-05
48582,3.386958,-1,1,1,973,967,967,967,667,254,46,39177,9405,0.015676724439688365,0.24006432345508844
126781,20.844274,-1,1,1,20134,4186,4186,4186,2016,1836,334,89626,37155,0.06193181249937493,0.41455604400508783
88457,14.158389,-1,1,1,16804,2438,2438,2438,2071,4,363,64165,24292,0.04049112068994256,0.3785864567910855
49118,3.318355,-1,1,1,973,969,969,969,669,254,46,39482,9636,0.016061766794347378,0.24406058457018387
21797,4.712922,-1,1,1,8641,331,331,268,177,28,63,19399,2398,0.003997106348364986,0.12361461931027373
135646,99.924179,-1,7,7,115321,5668,39676,21881,347,1156,20378,37549,98097,0.16351298642850715,2.612506325068577
8008,8.045198,-1,1,1,15656,522,522,383,70,7,306,5869,2139,0.0035653921931412457,0.3644573181121145
133529,3.253021,-1,1,1,5785,141,141,141,60,21,60,132507,1022,0.0017035207206126007,0.007712800078486419
21576,0.177366,-1,1,1,29,29,29,29,1,5,23,21452,124,0.00020668940250094178,0.005780346820809248
96528,152.947537,3,1,1,106250,15989,15989,15989,0,0,15989,28589,67939,0.1132441235202539,2.3764035118402185
80807,14.617869,-1,1,1,17016,2443,2443,2443,2073,40,330,56397,24410,0.04068780899232249,0.43282444101636613
20164,0.245938,-1,3,3,29,29,87,66,2,12,52,19819,345,0.0005750632569582654,0.017407538220899136
151414,0.118224,-1,1,1,33,33,33,33,6,4,23,151208,206,0.00034337110415479035,0.0013623617798000107
156485,0.033375,-1,1,1,5,5,5,5,1,2,2,156457,28,4.667180056472879e-05,0.00017896290993691557
58075,24.481479,-1,1,1,28429,4382,4382,4382,111,72,4199,38424,19651,0.032755269746338765,0.5114251509473245
82553,154.667526,3,1,1,112500,13670,13670,13670,0,0,13670,26759,55794,0.09300023002530278,2.0850554953473597
129020,20.181191,-1,1,1,19820,4138,4138,4138,1481,2307,350,93539,35481,0.05914150556561222,0.3793177177434012
138353,19.919432,-1,1,1,19564,4165,4165,4165,1626,2189,350,102620,35733,0.059561551770694776,0.3482069771974274
10686,2.646211,-1,1,1,5233,111,111,90,39,21,30,9947,739,0.0012318021649048061,0.07429375691163165
151012,0.157507,-1,1,1,33,33,33,33,6,4,23,150809,203,0.0003383705540942837,0.0013460735102016458
47406,2.56922,-1,1,1,766,763,763,763,670,24,69,39562,7844,0.013074771558204737,0.19827106819675447
152920,0.678791,-1,1,1,186,186,186,186,6,5,175,152077,843,0.0014051545670023702,0.0055432445405945675
5411,0.122082,-1,3,1,33,33,33,13,2,2,9,5334,77,0.00012834745155300417,0.014435695538057743
9807,1.906641,-1,1,1,712,709,709,420,321,30,69,5649,4158,0.006930762383862225,0.7360594795539034
21657,0.138107,-1,1,1,29,29,29,29,1,5,23,21510,147,0.0002450269529648261,0.006834030683403068
153007,0.614277,-1,1,1,184,184,184,184,4,5,175,152235,772,0.0012868082155703794,0.005071107169836109
6040,0.564592,-1,1,1,186,186,186,181,1,5,175,5272,768,0.001280140815489704,0.1456752655538695
0,0.232202,-1,7,0,33,33,0,0,0,0,0,0,0,0.0,0.0
74809,25.649206,-1,7,7,16858,2403,16821,5608,3324,59,2225,28116,46693,0.07783022799174576,1.660726988191777
68085,64.161563,-1,1,1,105477,5619,5619,5619,359,1236,4024,38137,29948,0.04991882440401778,0.7852741432204945
150118,0.201456,-1,1,1,33,33,33,33,6,4,23,149930,188,0.00031336780379175044,0.0012539184952978057
85858,0.031262,-1,1,1,1,1,1,1,0,0,1,85856,2,3.3337000403377706e-06,2.3294819232202757e-05
144727,5.696399,-1,1,1,5785,819,819,819,484,152,183,137390,7337,0.012229678597979111,0.053402722177742196
145862,5.724383,-1,1,1,5785,837,837,837,482,172,183,138498,7364,0.01227468354852367,0.05317044289448223
64822,4.986186,-1,1,1,5785,566,566,566,240,254,72,59862,4960,0.008267576100037671,0.08285723831479068
74252,141.228342,3,1,1,90000,12366,12366,12366,0,0,12366,23709,50543,0.08424760056939597,2.1318064869880637
3509,1.322877,-1,54,36,33,33,1188,306,21,31,254,2021,1488,0.0024802728300113014,0.7362691736763978
15812,0.158713,-1,1,1,33,33,33,27,4,2,21,15658,154,0.00025669490310600834,0.009835227998467238
38124,20.425187,-1,1,1,19531,4724,4724,3006,1045,1629,332,12900,25224,0.04204462490873996,1.9553488372093024
66037,0.465726,-1,7,7,29,29,203,161,7,7,147,65320,717,0.0011951314644610908,0.010976729944886712
21690,0.187435,-1,1,1,33,33,33,33,6,4,23,21488,202,0.0003367037040741148,0.009400595681310499
26007,12.057072,-1,21,21,5785,768,16128,1945,62,1686,197,11861,14146,0.02357926038530905,1.192648174690161
111888,19.915032,-1,1,1,20126,3772,3772,3772,1299,2125,348,80162,31726,0.052882483739878056,0.3957735585439485
46538,134.540709,3,1,1,106250,7676,7676,7676,0,0,7676,13027,33511,0.055857811025879514,2.5724264988101635
97447,179.463523,3,1,1,106250,16031,16031,16030,0,0,16030,30763,66684,0.11115222674494195,2.167668952962975
300420,0.113705,-1,21,7,1,1,7,7,0,0,7,300396,24,4.000440048405325e-05,7.989453920824512e-05
21304,4.528258,-1,1,1,5785,736,736,420,98,139,183,18338,2966,0.004943877159820914,0.1617406478350965
98668,4.540776,-1,1,1,8641,220,220,220,150,28,42,96716,1952,0.003253691239369664,0.020182803259026428
111269,13.622278,-1,1,1,16785,2157,2157,2157,1612,20,525,90941,20328,0.0338837272099931,0.223529541131063
23477,4.584368,-1,1,1,5785,839,839,461,117,159,185,20275,3202,0.00533725376458077,0.1579284833538841
11671,2.974074,-1,1,1,973,964,964,650,351,253,46,5605,6066,0.010111112222344457,1.0822479928635147
19698,59.956741,-1,1,1,113546,5591,5591,3169,67,173,2929,5507,14191,0.02365426863621665,2.576902124568731
143739,3.243559,-1,1,1,5785,165,165,165,60,42,63,142582,1157,0.0019285454733354002,0.00811462877502069
122527,4.535239,-1,1,1,5233,681,681,681,499,0,182,116222,6305,0.010509489377164822,0.05424962571630156
21572,0.171887,-1,1,1,29,29,29,29,1,5,23,21408,164,0.0002733634033076972,0.007660687593423019
82059,162.121542,3,1,1,90000,13589,13589,13589,0,0,13589,28760,53299,0.08884143922498142,1.8532336578581363
21582,0.22837,-1,1,1,33,33,33,33,6,4,23,21408,174,0.000290031903509386,0.008127802690582959
103618,181.604781,3,1,1,90000,17015,17015,17015,0,0,17015,35918,67700,0.11284574636543353,1.884848822317501
13051,0.259527,-1,3,3,33,33,99,36,4,2,30,12855,196,0.0003267026039531015,0.015246985608712562
