estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
22563562872.633224,6.6609,22919731315,356168442.3667755,7.42187564678668,0.015539817525420913
3753426875.899608,4.7143,4062771915,309345039.10039186,6.446164620584708,0.07614137479839103
2967111589.2954206,2.4646,2755835756,211275833.29542065,4.402588144726992,0.07666488571948867
890747785.6062844,2.9538,932972333,42224547.39371562,0.8798795814573871,0.04525809169275293
767886022.0743825,2.8175,768055875,169852.92561745644,0.003539413216394672,0.0002211465742872632
3280409086.3017764,2.9465,3442359608,161950521.6982236,3.3747420882916703,0.04704636939204511
6634535230.72258,2.363,6553102909,81432321.72257996,1.6968953269356033,0.012426528753385086
6843400228.726801,4.506,6540856729,302543499.7268009,6.3044334242382,0.046254414713813086
14651265301.17965,6.7522,13864074871,787190430.1796494,16.403557385124667,0.05677915313529104
11481431802.056274,6.7397,10880744435,600687367.0562744,12.51718684356762,0.05520645858789297
5553351711.641907,5.1875,5377078972,176272739.64190674,3.6731899795698366,0.03278224860743346
2881108354.823088,2.6925,2961017928,79909573.17691183,1.6651641317960972,0.026987196673573074
5596353328.87807,3.9773,5335676694,260676634.87806988,5.43200726945798,0.048855402946584504
694168963.9552414,2.6248,600595155,93573808.95524144,1.94990092116808,0.15580180455375375
19940464221.22768,4.8647,20088583052,148118830.7723198,3.0865158508555885,0.007373284138005603
3243550557.242205,3.7865,3274079176,30528618.757794857,0.6361585843565143,0.009324337353103417
3163690410.9464674,5.9679,3099184525,64505885.9464674,1.3441804692159478,0.0208138255163969
10676687250.92224,7.2518,10006695291,669991959.9222393,13.961363274764976,0.0669543680944126
3016256294.7081823,2.9256,3001305195,14951099.708182335,0.31155259595561824,0.0049815326122415
22692567724.341694,5.4546,22928413115,235845390.65830612,4.91457117790135,0.01028616282668135
26955870918.897778,9.5043,26184007110,771863808.8977776,16.084179630926258,0.0294784448253145
4595029956.093128,5.4079,4436077282,158952674.0931282,3.312272623043194,0.035831809048525995
3685852905.95706,5.0516,3498084981,187767924.95705986,3.912727866135256,0.05367734802811523
14172104423.405186,9.173,13414952205,757152218.4051857,15.77761795331972,0.05644091807669513
14264250746.05412,6.9447,13510918048,753332698.0541191,15.698026384545091,0.05575732865655519
1541915132.325355,2.6198,1511773901,30141231.325355053,0.6280861640949364,0.019937658207631045
22944434339.58204,5.6111,22929517927,14916412.58203888,0.3108297819548314,0.0006505331960980515
6345810086.422627,4.8853,6075588839,270221247.42262745,5.630898914466545,0.04447655273971831
17323508657.99873,7.3262,16948127119,375381538.9987297,7.822240185105929,0.022148850805933686
706455140.3084316,3.0505,815534080,109078939.69156837,2.2729984742457447,0.13375154069780673
810887639.3105482,2.5547,835734508,24846868.689451814,0.5177616759073972,0.02973057645891991
3427843202.540061,3.4693,3272642512,155200690.540061,3.234088393203489,0.04742366145125142
23491169187.298885,6.8237,22445229839,1045939348.2988853,21.795394689014618,0.046599627439835783
903033961.9594746,3.7232,850725528,52308433.95947456,1.0900086755175944,0.06148685120857754
0.0,2.2355,0,0.0,0.0,0.0
5246197302.81217,6.6288,5019837026,226360276.81217003,4.716919373059127,0.04509315255450487
4171156871.908082,5.1957,4138218691,32938180.90808201,0.6863692951196512,0.0079595070651335
23061153014.93732,6.0089,22906341804,154811210.9373207,3.2259723760760606,0.006758443240827173
13305928990.505194,2.0987,13105905228,200023762.5051937,4.16811630432765,0.015262109638779825
20407338922.648808,2.6083,20807054056,399715133.3511925,8.329306196129302,0.019210558701649987
20739065684.18487,3.9768,20963180706,224115021.81512833,4.670132512121543,0.01069088822723276
8987338002.358425,6.7223,9066809391,79471388.64157486,1.6560331961354162,0.00876508871141161
4220301577.320844,5.7919,4019736699,200564878.32084417,4.179392132886687,0.04989502878900979
485303965.9510088,2.3224,475760512,9543453.951008797,0.19886750211374027,0.02005936539560643
2217654831.750805,3.0955,2405514944,187860112.2491951,3.9146488746723827,0.0780955914315846
1683206160.3870394,2.6187,1627624495,55581665.38703942,1.1582166179650148,0.03414894870271624
9681506966.313738,2.9929,9903889201,222382234.68626213,4.634024510785609,0.022454030954204143
3175976587.299658,4.4056,3274083009,98106421.70034218,2.0443519846189395,0.029964549289270073
1744637042.1529891,5.0249,1820428641,75791598.84701085,1.579353347465824,0.04163393013053064
12820625024.554134,6.3129,12040399914,780225110.5541344,16.258413318578032,0.06480059766510961
2143937773.6316624,6.7345,2084367302,59570471.63166237,1.2413357840820163,0.028579642165036404
