true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
123948,119894.0,125,123,12246,2033,250059,13545,6,3957,4877,3980,0,725,4054.0,0.0075564684786782335,0.032707264336657306,275975
121500,117723.0,125,123,12246,1901,233823,12580,12,3280,4511,4043,0,734,3777.0,0.007040153291555917,0.03108641975308642,258774
2142,1959.0,1,1,9908,6594,6594,941,21,605,315,0,0,0,183.0,0.0003411035351746711,0.08543417366946779,17444
80500,75905.0,4750,1226,33648,3407,4176982,19211,4708,5402,2192,4477,1775,657,4595.0,0.008564867454249255,0.057080745341614905,4234591
121025,117215.0,125,123,12246,1938,238374,12542,12,3391,4362,4043,0,734,3810.0,0.007101663765112005,0.031481098946498656,263287
124767,120141.0,125,123,12288,2190,269370,14725,0,4489,4225,4233,1406,372,4626.0,0.008622650020317096,0.03707711173627642,296508
79597,70981.0,4750,1226,9908,6222,7628172,47114,581,30254,16279,0,0,0,8616.0,0.016059825459371402,0.1082452856263427,7689944
119538,115558.0,125,123,12246,1983,243909,12596,6,3429,4456,3980,0,725,3980.0,0.007418535901613066,0.03329485184627482,268876
123624,119349.0,125,123,29280,2743,337389,14896,2908,1752,4225,4233,1406,372,4275.0,0.007968402256129612,0.034580663948747814,381690
5045,4921.0,1,1,12288,1942,1942,394,0,125,132,97,34,6,124.0,0.00023113026427136184,0.024578790882061448,14625
118038,112960.0,125,123,34824,3121,383883,18401,1673,4306,6177,5192,694,359,5078.0,0.009465157112661092,0.043020044392483775,437233
1796,1662.0,1,1,90037,15247,15247,832,80,752,0,0,0,0,134.0,0.0002497698017126007,0.07461024498886415,106117
184124,172578.0,4750,1226,64501,8076,9901176,55111,15550,0,39561,0,0,0,11546.0,0.021521209929654384,0.06270774043579327,10025538
5389,5055.0,1,1,36812,11130,11130,2355,709,1043,603,0,0,0,334.0,0.0006225605505373778,0.06197810354425682,50298
1996,1900.0,1,1,36812,12449,12449,869,461,69,339,0,0,0,96.0,0.00017893955943589304,0.04809619238476954,50131
6588,6442.0,1,1,12246,1936,1936,529,0,183,186,148,0,12,146.0,0.00027213724664208733,0.022161505768063146,14712
495,477.0,1,1,36812,12103,12103,283,103,85,95,0,0,0,18.0,3.3551167394229945e-05,0.03636363636363636,49199
83453,78945.0,4750,1226,29280,2188,2682488,14776,1870,2031,4069,4298,1803,705,4508.0,0.008402703478510477,0.05401842953518747,2731294
5207,5105.0,1,1,29238,2587,2587,393,70,58,146,107,0,12,102.0,0.00019012328190063635,0.019589014787785672,32219
123863,119208.0,125,123,12288,2113,259899,14776,5,4329,4616,4058,1409,359,4655.0,0.00867670467889669,0.03758184445718253,287088
120740,116755.0,125,123,33606,3001,369123,16143,2064,6529,2614,4205,0,731,3985.0,0.007427855670333685,0.03300480371045221,418997
7304,7172.0,1,1,1396,947,947,453,33,98,132,190,0,0,132.0,0.00024604189422435294,0.018072289156626505,2797
77066,73013.0,4750,1226,12246,1874,2297524,12858,2,3262,3975,4257,0,1362,4053.0,0.0075546045249341096,0.05259128539174214,2327378
184124,172578.0,4750,1226,64501,8076,9901176,55111,15550,0,39561,0,0,0,11546.0,0.021521209929654384,0.06270774043579327,10025538
11398,11049.0,1,1,90037,15247,15247,3535,676,2859,0,0,0,0,349.0,0.0006505198566992362,0.030619406913493595,108820
80556,76459.0,4750,1226,12246,1804,2211704,13121,13,3453,3965,4259,0,1431,4097.0,0.00763661848967556,0.05085902974328418,2241821
1691,1619.0,1,1,33606,3190,3190,229,31,72,40,77,0,9,72.0,0.00013420466957691978,0.04257835600236547,37026
5763,5452.0,1,1,36812,12126,12126,2513,1194,736,583,0,0,0,311.0,0.0005796896144225285,0.05396494881138296,51452
182814,172124.0,4750,1226,90037,15915,19511790,99204,16516,82688,0,0,0,0,10690.0,0.01992566552468434,0.05847473388252541,19705781
2693,2619.0,1,1,12246,1804,1804,265,0,77,94,84,0,10,74.0,0.00013793257706516755,0.027478648347567768,14316
9965,9521.0,1,1,90037,15915,15915,3294,686,2608,0,0,0,0,444.0,0.0008275954623910053,0.04455594581033618,109247
122955,118444.0,125,123,12288,2059,253257,13979,2,3741,4225,4233,1406,372,4511.0,0.008408295339742848,0.03668821926721158,279649
83511,77484.0,125,123,64501,8610,1059030,40141,20108,0,20033,0,0,0,6027.0,0.01123404921583466,0.07217013327585588,1163797
122543,117925.0,125,123,12288,1900,233700,13923,4,2792,5028,4331,1409,359,4618.0,0.008607738390364104,0.037684731073990355,260036
10149,9838.0,1,1,64501,8076,8076,1625,703,0,922,0,0,0,311.0,0.0005796896144225285,0.030643413144152132,74203
184922,176238.0,125,123,36812,12449,1531227,76757,34575,20664,21518,0,0,0,8684.0,0.016186574313971823,0.04696034003525811,1644921
9369,9034.0,1,1,36812,12449,12449,3001,1516,955,530,0,0,0,335.0,0.0006244245042815017,0.035756217312413276,52263
2898,2800.0,1,1,64501,8076,8076,470,108,0,362,0,0,0,98.0,0.0001826674669241408,0.033816425120772944,73048
7009,6863.0,1,1,12288,1926,1926,522,0,156,194,132,34,6,146.0,0.00027213724664208733,0.020830360964474246,14737
5871,5750.0,1,1,12246,1901,1901,470,0,141,175,142,0,12,121.0,0.00022553840303899018,0.02060977686935786,14618
3055,2973.0,1,1,29280,2079,2079,351,42,51,123,99,30,6,82.0,0.00015284420701815863,0.02684124386252046,31711
83511,77484.0,125,123,64501,8610,1059030,40141,20108,0,20033,0,0,0,6027.0,0.01123404921583466,0.07217013327585588,1163797
2467,1988.0,125,87,34824,3217,279879,1537,96,311,351,586,70,123,479.0,0.0008928338434353413,0.19416295095257396,316365
2936,2831.0,1,1,64501,8483,8483,475,113,0,362,0,0,0,105.0,0.000195715143133008,0.035762942779291554,73460
123898,119342.0,125,123,12288,1964,241572,13808,2,3167,4628,4233,1406,372,4556.0,0.008492173258228423,0.03677218357035626,267793
964,887.0,1,1,12288,2190,2190,218,0,53,72,65,22,6,77.0,0.0001435244382975392,0.07987551867219916,14697
2106,1659.0,4750,181,12246,2033,367973,1391,2,340,394,450,0,205,447.0,0.000833187323623377,0.21225071225071226,386360
215329,204881.0,125,123,64501,8483,1043409,46663,10597,0,36066,0,0,0,10448.0,0.01947458871860636,0.04852110026981967,1154698
77389,73201.0,4750,1226,12246,1936,2373536,13227,2,3631,3975,4257,0,1362,4188.0,0.007806238280390834,0.05411621806716717,2403759
2952,2804.0,1,1,64501,8483,8483,740,186,0,554,0,0,0,148.0,0.0002758651541303351,0.05013550135501355,73725
2690,2587.0,1,1,12288,2002,2002,336,0,83,102,115,30,6,103.0,0.00019198723564476023,0.03828996282527881,14627
184124,172578.0,4750,1226,64501,8076,9901176,55111,15550,0,39561,0,0,0,11546.0,0.021521209929654384,0.06270774043579327,10025538
670,627.0,1,1,64501,8610,8610,358,170,0,188,0,0,0,43.0,8.01500109973271e-05,0.06417910447761194,73470
9537,9241.0,1,1,90037,15247,15247,3292,545,2747,0,0,0,0,296.0,0.0005517303082606702,0.031037013735975675,108577
5053,4952.0,1,1,12288,2103,2103,399,0,123,145,103,22,6,101.0,0.00018825932815651246,0.019988125865822284,14791
79294,74977.0,4750,1226,12246,1902,2331852,13242,9,3586,4009,4276,0,1362,4317.0,0.008046688313382814,0.05444295911418266,2362090
7495,7231.0,1,1,64501,8076,8076,1291,504,0,787,0,0,0,264.0,0.0004920837884487059,0.0352234823215477,73869
3144,3077.0,1,1,29280,2345,2345,286,40,44,94,82,20,6,67.0,0.00012488490085630036,0.021310432569974554,31912
10131,9827.0,1,1,64501,8076,8076,1389,445,0,944,0,0,0,304.0,0.0005666419382136613,0.03000690948573685,73967
2045,1951.0,1,1,29280,2345,2345,270,45,22,93,81,24,5,94.0,0.00017521165194764527,0.045965770171149146,31896
3229,3086.0,1,1,64501,8610,8610,1254,717,0,537,0,0,0,143.0,0.0002665453854097157,0.04428615670486219,74366
215329,204881.0,125,123,64501,8483,1043409,46663,10597,0,36066,0,0,0,10448.0,0.01947458871860636,0.04852110026981967,1154698
