true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
49377,72972.66666666667,4750,1383,33648,2905,4017615,17425,2123,4860,2293,5475,1849,825,23595.66666666667,0.04398123122843251,0.4778675631704371,4073438
3024,3601.6666666666665,1,1,12288,2113,2113,342,0,113,112,87,25,5,577.6666666666665,0.0010767439461888979,0.19102733686067014,14744
9853,14169.666666666664,1,1,90037,15247,15247,3163,555,2608,0,0,0,0,4316.666666666664,0.008046066995468103,0.43810683717311116,108448
121831,147133.66666666666,125,123,33648,3407,419061,17469,3679,5054,2637,4331,1409,359,25302.666666666657,0.04716300026965196,0.2076866041210091,470303
6733,7433.0,1,1,12246,2111,2111,569,0,229,180,148,0,12,700.0,0.0013047676208867202,0.10396554284865588,14927
5046,7580.0,1,1,36812,12103,12103,1780,824,505,451,0,0,0,2534.0,0.004723258787609927,0.5021799445105034,50696
4752,7604.666666666667,1,1,9908,6594,6594,1864,18,1306,540,0,0,0,2852.666666666667,0.0053172387140707385,0.6003086419753088,18367
4838,7158.333333333333,1,1,36812,11130,11130,1722,652,619,451,0,0,0,2320.333333333333,0.004324994004282123,0.47960589775389273,49665
119049,141612.0,125,123,29238,2587,318201,14049,2291,1692,5130,4205,0,731,22563.0,0.04205638832866723,0.18952700148678275,361613
5740,8966.0,1,1,36812,11130,11130,2104,1105,391,608,0,0,0,3226.0,0.006013114778543656,0.562020905923345,50047
5139,8257.333333333334,1,1,90037,15915,15915,2269,336,1933,0,0,0,0,3118.333333333334,0.005812429092092985,0.6067976908607383,108222
2879,3304.0,1,1,33606,3190,3190,330,59,109,52,98,0,12,425.0,0.0007921803412526514,0.1476207016325113,37127
3137,3566.6666666666665,1,1,12246,1988,1988,296,0,77,111,97,0,11,429.6666666666665,0.0008008787920585627,0.13696737859951116,14531
5478,5925.333333333332,1,1,12288,2103,2103,411,0,124,134,123,24,6,447.3333333333321,0.0008338086415380827,0.08165997322623807,14803
3810,4635.0,1,1,12288,2002,2002,445,1,140,153,113,32,6,825.0,0.0015377618389022059,0.21653543307086615,14736
6620,7821.333333333333,1,1,34656,3633,3633,872,176,311,263,80,36,6,1201.333333333333,0.002239229764607494,0.18147029204431012,39162
135494,233661.6666666667,125,123,36812,12103,1488669,66325,28161,18680,19484,0,0,0,98167.66666666669,0.18297998983523894,0.7245167067668434,1591931
123948,144600.3333333333,125,123,12246,2033,250059,13545,6,3957,4877,3980,0,725,20652.333333333314,0.03849499404156116,0.1666209485698302,275975
121500,152856.3333333333,125,123,12246,1901,233823,12580,12,3280,4511,4043,0,734,31356.333333333314,0.05844675491866323,0.25807681755829887,258774
2142,3405.666666666667,1,1,9908,6594,6594,941,21,605,315,0,0,0,1263.666666666667,0.0023554162146578843,0.5899470899470901,17444
80500,106820.33333333334,4750,1226,33648,3407,4176982,19211,4708,5402,2192,4477,1775,657,26320.333333333343,0.0490598838632554,0.32696066252588,4234591
121025,152698.33333333334,125,123,12246,1938,238374,12542,12,3391,4362,4043,0,734,31673.333333333343,0.05903762825555056,0.2617090132892654,263287
124767,147466.0,125,123,12288,2190,269370,14725,0,4489,4225,4233,1406,372,22699.0,0.04230988603786808,0.18193111960694736,296508
79597,149224.0,4750,1226,9908,6222,7628172,47114,581,30254,16279,0,0,0,69627.0,0.1297815073421138,0.8747440230159428,7689944
119538,137780.33333333334,125,123,12246,1983,243909,12596,6,3429,4456,3980,0,725,18242.333333333343,0.03400286551822265,0.15260698132253628,268876
123624,146733.3333333333,125,123,29280,2743,337389,14896,2908,1752,4225,4233,1406,372,23109.333333333314,0.04307472839087355,0.18693241873206912,381690
5045,5541.333333333334,1,1,12288,1942,1942,394,0,125,132,97,34,6,496.33333333333394,0.0009251423750001565,0.09838123554674608,14625
118038,145227.3333333333,125,123,34824,3121,383883,18401,1673,4306,6177,5192,694,359,27189.333333333314,0.050679659666899,0.23034390055179954,437233
1796,3060.0,1,1,90037,15247,15247,832,80,752,0,0,0,0,1264.0,0.0023560375325725916,0.7037861915367484,106117
184124,271130.0,4750,1226,64501,8076,9901176,55111,15550,0,39561,0,0,0,87006.0,0.1621751594612428,0.4725402446177576,10025538
5389,9061.0,1,1,36812,11130,11130,2355,709,1043,603,0,0,0,3672.0,0.006844438148422909,0.6813880126182965,50298
1996,3269.666666666666,1,1,36812,12449,12449,869,461,69,339,0,0,0,1273.666666666666,0.0023740557520991216,0.6381095524382094,50131
6588,7278.666666666667,1,1,12246,1936,1936,529,0,183,186,148,0,12,690.666666666667,0.0012873707192748978,0.1048370775146732,14712
495,895.3333333333333,1,1,36812,12103,12103,283,103,85,95,0,0,0,400.33333333333326,0.0007462028155642621,0.8087542087542086,49199
83453,104769.33333333333,4750,1226,29280,2188,2682488,14776,1870,2031,4069,4298,1803,705,21316.33333333333,0.03973265932765945,0.2554292036635391,2731294
5207,5668.333333333334,1,1,29238,2587,2587,393,70,58,146,107,0,12,461.33333333333394,0.0008599039939558205,0.08859868126240329,32219
123863,144554.66666666666,125,123,12288,2113,259899,14776,5,4329,4616,4058,1409,359,20691.666666666657,0.03856830955549672,0.1670528460207379,287088
