baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.02142620086669922,0.0017404556274414062,151966,152068.0,1,1,42,42,42,42,6,5,15,16,0,0,0,102.0,0.0001700187020572263,0.0006712027690404433,127
0.029115676879882812,0.030809402465820312,11395,14594.0,7,7,16585,223,1561,1366,0,63,1226,77,0,0,0,3199.0,0.005332253214520264,0.28073716542343136,19519
0.022835254669189453,0.015538215637207031,134038,136038.0,1,1,2617,397,397,397,129,198,62,8,0,0,0,2000.0,0.0033337000403377707,0.014921141765767917,3412
0.020343542098999023,0.0012383460998535156,150030,150093.0,1,1,17,17,17,17,6,4,3,4,0,0,0,63.0,0.00010501155127063977,0.0004199160167966407,52
0.024436473846435547,0.0007038116455078125,85608,85608.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.020573854446411133,0.0007777214050292969,151351,151371.0,1,1,9,9,9,9,1,0,4,4,0,0,0,20.0,3.3337000403377706e-05,0.00013214316390377335,28
0.022479772567749023,0.018042325973510742,75449,77997.0,1,1,5497,450,450,450,259,120,68,3,0,0,0,2548.0,0.0042471338513903195,0.03377115667537012,6398
0.022895336151123047,0.028250694274902344,32612,36261.0,1,1,425,221,221,221,0,0,0,221,0,0,0,3649.0,0.006082335723596262,0.11189132834539434,868
0.03910064697265625,0.0006563663482666016,43492,43492.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.024576425552368164,0.0007176399230957031,300396,300396.0,21,7,1,1,7,7,0,0,0,0,0,0,7,0.0,0.0,0.0,36
0.0333254337310791,0.0010538101196289062,14756,14778.0,1,1,17,17,17,7,2,0,2,3,0,0,0,22.0,3.667070044371547e-05,0.0014909189482244511,42
0.018789052963256836,0.0010614395141601562,151244,151305.0,1,1,17,17,17,17,6,4,3,4,0,0,0,61.0,0.000101677851230302,0.000403321784665838,52
0.0366365909576416,0.0010538101196289062,8837,8873.0,1,1,17,17,17,10,1,3,4,2,0,0,0,36.0,6.000660072607987e-05,0.00407378069480593,45
0.030454635620117188,0.020589113235473633,13924,15498.0,1,1,5497,641,641,316,92,174,44,6,0,0,0,1574.0,0.0026236219317458255,0.11304222924446998,6455
0.02040576934814453,0.04476284980773926,84775,101639.0,1,1,19333,3229,3229,3229,1073,2120,20,16,0,0,0,16864.0,0.028109758740128082,0.19892657033323505,25792
0.02140188217163086,0.006856441497802734,39409,44405.0,1,1,730,728,728,728,671,24,29,4,0,0,0,4996.0,0.008327582700763751,0.12677307214088152,2187
0.03161787986755371,0.025330066680908203,13139,15708.0,1,1,8257,1198,1198,430,261,137,26,6,0,0,0,2569.0,0.004282137701813866,0.19552477357485348,9886
0.0237123966217041,0.02974557876586914,36051,32411.0,1,1,360,198,198,198,0,0,0,198,0,0,0,3640.0,0.006067334073414742,0.10096807300768355,757
0.032399654388427734,0.07042646408081055,44726,81773.0,7,7,19248,2061,14427,8022,374,7403,133,112,0,0,0,37047.0,0.06175179269719669,0.8283101551670169,41704
0.036504268646240234,0.0014939308166503906,2039,2069.0,1,1,17,17,17,7,4,0,2,1,0,0,0,30.0,5.0005500605066555e-05,0.014713094654242276,42
0.035718441009521484,0.001079559326171875,4472,4476.0,1,1,13,13,13,4,0,1,0,3,0,0,0,4.0,6.667400080675541e-06,0.0008944543828264759,31
0.021093368530273438,0.0010912418365478516,150056,150127.0,1,1,17,17,17,17,6,4,3,4,0,0,0,71.0,0.00011834635143199086,0.00047315668816974994,52
0.05441164970397949,0.004861116409301758,1641,3157.0,154,77,17,17,1309,513,0,175,301,37,0,0,0,1516.0,0.00252694463057603,0.9238269347958562,1993
0.030435800552368164,0.030773639678955078,82922,88122.0,7,7,8257,697,4879,907,664,0,187,56,0,0,0,5200.0,0.008667620104878202,0.06270953426111285,14050
0.025556564331054688,0.0016093254089355469,21328,21380.0,1,1,17,17,17,17,1,5,8,3,0,0,0,52.0,8.667620104878203e-05,0.0024381095273818456,52
0.024323225021362305,0.031984567642211914,85054,90817.0,1,1,16478,938,938,938,732,21,169,16,0,0,0,5763.0,0.009606056666233286,0.06775695440543654,18355
0.033721208572387695,0.0015561580657958984,13987,14000.0,1,1,13,13,13,6,1,1,1,3,0,0,0,13.0,2.1669050262195507e-05,0.0009294344748695217,33
0.03146171569824219,0.0016434192657470703,21435,21463.0,1,1,13,13,13,13,1,5,3,4,0,0,0,28.0,4.667180056472879e-05,0.0013062747842313973,40
0.034368038177490234,0.0012068748474121094,21755,21829.0,1,1,17,17,17,17,6,4,3,4,0,0,0,74.0,0.00012334690149249752,0.0034015168926683523,52
0.022490262985229492,0.019738197326660156,25667,30038.0,1,1,5401,682,682,682,487,176,18,1,0,0,0,4371.0,0.007285801438158198,0.1702964896559785,6766
0.021928787231445312,0.032801151275634766,96569,104077.0,1,1,8353,1126,1126,1126,1003,78,39,6,0,0,0,7508.0,0.01251470995142799,0.07774751731922253,10606
0.04805302619934082,0.0008249282836914062,42949,42949.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.02188253402709961,0.025618314743041992,75486,80238.0,1,1,8257,784,784,784,499,233,49,3,0,0,0,4752.0,0.007920871295842543,0.06295207058262459,9826
0.02215886116027832,0.044432878494262695,106435,128611.0,1,1,18981,3873,3873,3873,1789,2060,7,17,0,0,0,22176.0,0.0369640660472652,0.2083525156198619,26728
0.021000385284423828,0.0017731189727783203,152174,152240.0,1,1,22,22,22,22,4,5,5,7,1,0,0,66.0,0.00011001210133114643,0.00043371403787769266,67
0.04537820816040039,0.0073184967041015625,17482,22632.0,462,308,5,5,1540,1251,242,493,516,0,0,0,0,5150.0,0.00858427760386976,0.29458871982610685,3258
0.0233762264251709,0.03901362419128418,89146,106515.0,1,1,19779,3234,3234,3234,1141,2066,10,17,0,0,0,17369.0,0.028951518000313366,0.19483768200480112,26248
0.031063079833984375,0.0070073604583740234,5677,9070.0,1,1,883,882,882,581,312,259,6,4,0,0,0,3393.0,0.005655622118433028,0.5976748282543597,2347
0.0417027473449707,0.001268148422241211,5466,5501.0,1,1,17,17,17,9,3,4,0,2,0,0,0,35.0,5.833975070591099e-05,0.006403219904866447,44
0.021390676498413086,0.017670631408691406,100245,101332.0,1,1,5401,179,179,179,120,42,12,5,0,0,0,1087.0,0.0018118659719235783,0.010843433587710111,5760
0.021228790283203125,0.00904393196105957,39432,45011.0,1,1,919,917,917,917,611,260,46,0,0,0,0,5579.0,0.00929935626252221,0.14148407384865083,2754
0.029904842376708984,0.006455421447753906,5613,7984.0,1,1,649,644,644,351,315,0,32,4,0,0,0,2371.0,0.003952101397820427,0.4224122572599323,1645
