true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
7127,7103,1,2626,636,0,164,200,158,114,24,4.428787859216215e-05,0.0033674757962677145
5935,5909,1,2585,584,0,141,179,155,109,26,4.7978535141509e-05,0.0043807919123841615
3096,3111,1,2782,408,43,51,125,109,80,15,2.7679924120101345e-05,0.0048449612403100775
84405,88002,125,9342,41163,20226,0,20937,0,0,3597,0.006637645804000302,0.04261595877021503
2488,2422,125,3982,1861,105,322,385,636,413,66,0.00012179166612844591,0.02652733118971061
2937,2950,1,9798,493,126,0,367,0,0,13,2.39892675707545e-05,0.004426285325161729
124895,124315,125,2634,15773,0,3222,4685,4546,3320,580,0.0010702903993105852,0.004643900876736459
984,975,1,2897,248,0,50,73,72,53,9,1.6607954472060808e-05,0.009146341463414634
2131,2076,4750,2757,1872,0,395,438,515,524,55,0.00010149305510703826,0.025809479117785077
216763,217854,125,9798,48462,10811,0,37651,0,0,1091,0.0020132531476687045,0.005033146800883914
78055,77414,4750,2617,17210,0,3896,4199,4784,4331,641,0.0011828554240656641,0.008212158093651912
2954,2969,1,9798,738,181,0,557,0,0,15,2.7679924120101345e-05,0.0050778605280974946
2735,2718,1,2697,387,0,80,105,128,74,17,3.137058066944819e-05,0.006215722120658135
185357,187624,4750,9511,60085,16769,0,43316,0,0,2267,0.00418335919868465,0.012230452586090625
679,713,1,9342,369,169,0,200,0,0,34,6.274116133889639e-05,0.050073637702503684
9575,9925,1,16881,3340,549,2791,0,0,0,350,0.0006458648961356981,0.03655352480417755
5073,5057,1,2778,436,0,126,145,107,58,16,2.9525252394774767e-05,0.003153952296471516
79988,79333,4750,2618,17430,0,3979,4342,4778,4331,655,0.001208690019911092,0.008188728309246386
7552,7652,1,9511,1353,509,0,844,0,0,100,0.00018453282746734231,0.013241525423728813
3153,3152,1,3047,311,40,45,96,87,43,1,1.845328274673423e-06,0.0003171582619727244
