true_counts,estimates,cat_regions,num_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,absolute_error,normalized_error,relative_error
385,424,1,2787,203,83,66,54,0,0,39,7.19678027122635e-05,0.1012987012987013
0,0,1,587,1,0,0,1,0,0,0,0.0,
481,509,1,2836,252,105,49,98,0,0,28,5.1669191690855846e-05,0.058212058212058215
17148,18639,125,3087,9862,3705,3031,3126,0,0,1491,0.0027513844575380738,0.08694891532540237
1,2,1,3083,4,3,0,1,0,0,1,1.845328274673423e-06,1.0
18360,19641,125,2797,9159,3273,2575,3311,0,0,1281,0.002363865519856655,0.06977124183006536
1130,1204,1,4515,516,97,419,0,0,0,74,0.0001365542923258333,0.06548672566371681
28,30,1,4191,23,3,20,0,0,0,2,3.690656549346846e-06,0.07142857142857142
232,263,38,2867,241,103,37,101,0,0,31,5.720517651487611e-05,0.1336206896551724
1498,1532,1,2731,327,99,32,196,0,0,34,6.274116133889639e-05,0.022696929238985315
23005,24738,125,3101,11195,4567,3317,3311,0,0,1733,0.003197953900009042,0.07533144968485112
0,0,1,2377,4,0,0,4,0,0,0,0.0,
1869,1991,1,4528,666,126,540,0,0,0,122,0.00022513004951015762,0.06527554842161584
886,943,1,2410,398,210,7,181,0,0,57,0.0001051837116563851,0.06433408577878104
996,1076,38,3058,479,177,156,146,0,0,80,0.00014762626197387384,0.08032128514056225
637,690,38,2643,408,155,36,217,0,0,53,9.780239855769142e-05,0.08320251177394035
2159,2289,1,3183,813,482,183,148,0,0,130,0.000239892675707545,0.06021306160259379
1637,1666,1,2650,297,96,14,187,0,0,29,5.351451996552927e-05,0.0177153329260843
435,473,38,2656,280,120,9,151,0,0,38,7.012247443759008e-05,0.08735632183908046
817,895,1,3038,437,240,100,97,0,0,78,0.000143935605424527,0.09547123623011015
2201,2235,1,2770,365,107,0,258,0,0,34,6.274116133889639e-05,0.015447523852794184
43596,46208,125,4417,17725,1210,16515,0,0,0,2612,0.004819997453446981,0.059913753555372054
2343,2451,1,4433,712,109,603,0,0,0,108,0.0001992954536647297,0.046094750320102434
455,481,38,2654,346,146,0,200,0,0,26,4.7978535141509e-05,0.05714285714285714
165,182,1,2485,113,48,2,63,0,0,17,3.137058066944819e-05,0.10303030303030303
743,818,38,2423,504,68,436,0,0,0,75,0.00013839962060050674,0.1009421265141319
2192,2224,1,2574,419,155,13,251,0,0,32,5.9050504789549535e-05,0.014598540145985401
1819,1948,1,3279,704,346,218,140,0,0,129,0.00023804734743287158,0.07091808686091258
1192,1293,1,4493,569,92,477,0,0,0,101,0.00018637815574201573,0.08473154362416108
1051,1132,38,3101,459,176,145,138,0,0,81,0.00014947159024854726,0.07706945765937202
859,876,1,2561,205,34,6,165,0,0,17,3.137058066944819e-05,0.01979045401629802
617,697,1,3677,429,208,221,0,0,0,80,0.00014762626197387384,0.12965964343598055
1234,1342,38,3158,604,301,167,136,0,0,108,0.0001992954536647297,0.08752025931928688
1525,1555,38,2586,356,123,27,206,0,0,30,5.535984824020269e-05,0.019672131147540985
506,526,1,2623,145,58,0,87,0,0,20,3.690656549346846e-05,0.039525691699604744
770,833,1,3074,351,150,96,105,0,0,63,0.00011625568130442565,0.08181818181818182
43829,44798,125,2650,10823,2081,518,8224,0,0,969,0.001788123098158547,0.022108649524287573
151,179,38,2428,163,33,130,0,0,0,28,5.1669191690855846e-05,0.18543046357615894
1244,1271,1,710,271,23,7,241,0,0,27,4.982386341618242e-05,0.021704180064308683
18,26,1,2739,22,19,0,3,0,0,8,1.4762626197387384e-05,0.4444444444444444
406,419,1,1677,194,9,108,77,0,0,13,2.39892675707545e-05,0.03201970443349754
1880,1987,38,4433,630,76,554,0,0,0,107,0.00019745012539005628,0.056914893617021275
803,828,1,2346,238,54,19,165,0,0,25,4.613320686683558e-05,0.031133250311332503
1460,1608,38,3233,712,481,144,87,0,0,148,0.0002731085846516666,0.10136986301369863
192,220,38,2803,230,103,0,127,0,0,28,5.1669191690855846e-05,0.14583333333333334
2041,2166,38,4446,882,148,734,0,0,0,125,0.00023066603433417787,0.06124448799608035
1018,1075,1,2415,416,230,0,186,0,0,57,0.0001051837116563851,0.055992141453831044
2353,2481,1,4643,775,187,588,0,0,0,128,0.00023620201915819814,0.05439864003399915
2428,2589,1,4520,980,216,764,0,0,0,161,0.0002970978522224211,0.06630971993410215
0,1,1,4498,4,1,3,0,0,0,1,1.845328274673423e-06,inf
1832,1874,1,2422,298,102,11,185,0,0,42,7.750378753628376e-05,0.02292576419213974
1548,1606,38,2841,436,138,29,269,0,0,58,0.00010702903993105854,0.037467700258397935
1120,1169,38,2546,299,73,10,216,0,0,49,9.042108545899773e-05,0.04375
1126,1206,1,2424,568,50,518,0,0,0,80,0.00014762626197387384,0.07104795737122557
43428,46220,125,4520,18121,1739,16382,0,0,0,2792,0.005152156542888197,0.06429031960946854
540,579,38,2359,318,162,4,152,0,0,39,7.19678027122635e-05,0.07222222222222222
3494,3537,38,1396,324,134,0,190,0,0,43,7.93491158109572e-05,0.012306811677160847
578,662,38,3198,510,234,129,147,0,0,84,0.00015500757507256753,0.1453287197231834
262,293,38,2582,252,93,15,144,0,0,31,5.720517651487611e-05,0.1183206106870229
2065,2190,1,4397,800,158,642,0,0,0,125,0.00023066603433417787,0.06053268765133172
2590,2695,1,3175,637,433,128,76,0,0,105,0.00019375946884070942,0.04054054054054054
544,555,38,711,201,8,6,187,0,0,11,2.0298611021407652e-05,0.02022058823529412
1796,1807,1,579,348,0,46,302,0,0,11,2.0298611021407652e-05,0.006124721603563474
1699,1802,38,4446,659,138,521,0,0,0,103,0.00019006881229136256,0.06062389640965274
2519,2637,1,4402,739,101,638,0,0,0,118,0.00021774873641146393,0.04684398570861453
94,98,38,836,77,6,13,58,0,0,4,7.381313098693692e-06,0.0425531914893617
758,816,38,1837,494,26,334,134,0,0,58,0.00010702903993105854,0.07651715039577836
501,535,1,4327,195,16,179,0,0,0,34,6.274116133889639e-05,0.06786427145708583
370,389,1,2329,181,74,0,107,0,0,19,3.506123721879504e-05,0.051351351351351354
358,397,38,1396,248,120,0,128,0,0,39,7.19678027122635e-05,0.10893854748603352
1581,1612,1,2386,337,66,22,249,0,0,31,5.720517651487611e-05,0.0196078431372549
44070,46745,125,4458,17927,1713,16214,0,0,0,2675,0.004936253134751407,0.06069888813251645
1439,1546,1,2802,619,355,116,148,0,0,107,0.00019745012539005628,0.07435719249478805
119,138,38,2320,112,70,3,39,0,0,19,3.506123721879504e-05,0.15966386554621848
0,0,1,578,1,0,0,1,0,0,0,0.0,
0,0,125,4448,0,0,0,0,0,0,0,0.0,
114,138,38,2841,181,68,17,96,0,0,24,4.428787859216215e-05,0.21052631578947367
1323,1390,1,3199,452,155,165,132,0,0,67,0.00012363699440311933,0.050642479213907785
45607,46488,125,2427,10184,1874,406,7904,0,0,881,0.0016257342099872858,0.0193172100774004
1788,1884,1,1670,634,0,496,138,0,0,96,0.0001771515143686486,0.053691275167785234
1289,1374,1,1949,617,27,454,136,0,0,85,0.00015685290334724095,0.06594259115593483
2204,2319,1,4299,785,124,661,0,0,0,115,0.00021221275158744366,0.052177858439201454
8422,8856,125,2427,4860,1048,168,3644,0,0,434,0.0008008724712082655,0.05153170268344811
826,868,1,4409,389,35,354,0,0,0,42,7.750378753628376e-05,0.05084745762711865
1080,1180,38,4423,576,117,459,0,0,0,100,0.00018453282746734231,0.09259259259259259
988,1003,1,567,290,0,25,265,0,0,15,2.7679924120101345e-05,0.015182186234817813
10970,12051,125,3031,7448,2770,1945,2733,0,0,1081,0.00199479986492197,0.09854147675478578
1226,1309,1,3168,511,282,130,99,0,0,83,0.00015316224679789411,0.06769983686786298
8106,8521,125,2500,4629,1066,114,3449,0,0,415,0.0007658112339894705,0.05119664446089316
829,849,1,2663,250,73,0,177,0,0,20,3.690656549346846e-05,0.024125452352231604
736,745,38,567,280,0,17,263,0,0,9,1.6607954472060808e-05,0.012228260869565218
11,12,1,2494,14,7,0,7,0,0,1,1.845328274673423e-06,0.09090909090909091
1524,1629,1,4672,618,107,511,0,0,0,105,0.00019375946884070942,0.0688976377952756
186,192,38,514,67,14,7,10,36,0,6,1.1071969648040537e-05,0.03225806451612903
263,285,1,4442,112,2,110,0,0,0,22,4.0597222042815305e-05,0.08365019011406843
883,904,1,754,221,23,3,195,0,0,21,3.875189376814188e-05,0.02378255945639864
2455,2506,1,2625,422,131,18,273,0,0,51,9.411174200834457e-05,0.020773930753564155
406,426,38,1683,277,0,155,122,0,0,20,3.690656549346846e-05,0.04926108374384237
626,715,38,4520,600,158,442,0,0,0,89,0.00016423421644593466,0.14217252396166133
1242,1256,1,2428,191,36,10,145,0,0,14,2.5834595845427923e-05,0.011272141706924315
599,618,38,2565,213,43,9,161,0,0,19,3.506123721879504e-05,0.03171953255425709
8449,9571,125,4477,6617,1555,5062,0,0,0,1122,0.0020704583241835804,0.13279678068410464
868,908,1,2424,269,131,6,132,0,0,40,7.381313098693692e-05,0.04608294930875576
423,454,1,2466,247,125,11,111,0,0,31,5.720517651487611e-05,0.07328605200945626
1204,1273,38,1887,576,30,418,128,0,0,69,0.0001273276509524662,0.057308970099667775
634,694,1,3304,359,180,105,74,0,0,60,0.00011071969648040538,0.0946372239747634
34,36,1,2414,22,8,0,14,0,0,2,3.690656549346846e-06,0.058823529411764705
1,3,1,2407,6,5,0,1,0,0,2,3.690656549346846e-06,2.0
315,370,38,4365,388,93,295,0,0,0,55,0.00010149305510703826,0.1746031746031746
2127,2236,1,4496,777,186,591,0,0,0,109,0.0002011407819394031,0.05124588622472966
1157,1226,1,2484,414,227,2,185,0,0,69,0.0001273276509524662,0.059636992221261884
448,501,38,3097,329,147,87,95,0,0,53,9.780239855769142e-05,0.11830357142857142
534,562,38,1583,348,0,212,136,0,0,28,5.1669191690855846e-05,0.052434456928838954
784,856,1,2254,347,154,123,70,0,0,72,0.00013286363577648646,0.09183673469387756
522,537,38,685,260,6,18,236,0,0,15,2.7679924120101345e-05,0.028735632183908046
181,206,38,3181,170,85,42,43,0,0,25,4.613320686683558e-05,0.13812154696132597
145,160,38,1584,162,0,111,51,0,0,15,2.7679924120101345e-05,0.10344827586206896
