estimates,runtime,true_sums,absolute_error,normalized_error,relative_error
43054287.73452775,0.7595,44519775,1465487.2654722482,2.4427474780096614,0.03291767007969488
47601759.35214393,1.9192,45391211,2210548.3521439284,3.684652565355403,0.0486999201705354
0.0,1.3651,0,0.0,0.0,0.0
46574910.92235963,2.5665,45380879,1194031.9223596305,1.990272133867443,0.026311344087443313
85815190.20340244,1.1769,89524772,3709581.7965975553,6.183316492476765,0.041436372455632225
0.0,1.835,0,0.0,0.0,0.0
42614209.83604877,2.2322,44690174,2075964.163951233,3.4603209085519957,0.04645236252495309
44007789.847898886,0.9323,44720418,712628.1521011144,1.187844249702658,0.01593518540236172
87428809.16449206,1.0181,90653534,3224724.835507944,5.375132657105522,0.03557197048167967
43861097.21507256,1.4901,44512116,651018.7849274427,1.085150674786631,0.014625653494600047
0.0,0.9302,0,0.0,0.0,0.0
44154482.480725214,0.6959,45213202,1058719.519274786,1.7647266520563698,0.023416158830661588
36013041.358863994,0.5531,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
43714404.58224623,1.7316,44383513,669108.417753771,1.115303379628044,0.015075607416514572
45254677.22692268,2.4822,44742219,512458.2269226834,0.854191005881786,0.011453572003719426
46574910.92235963,2.9225,44768597,1806313.9223596305,3.0108543979164883,0.04034778937476264
45328023.54333584,1.6618,44838524,489499.5433358401,0.8159223236820052,0.010916941497357053
75033281.69066732,1.0315,79015991,3982709.3093326837,6.638579092587991,0.05040383925998832
45254677.22692268,0.8209,45022528,232149.22692268342,0.38695794357826596,0.005156290355856593
87428809.16449206,0.8736,90264109,2835299.835507944,4.726019588001254,0.03141115407795079
0.0,0.8328,0,0.0,0.0,0.0
44961291.96127002,1.4205,45679099,717807.0387299806,1.196476676984436,0.015714124280997326
36013041.358863994,0.6601,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
20536968.59568636,0.6011,21220108,683139.4043136388,1.1386909298583492,0.03219302202955983
1246887.3790238164,0.4346,1039938,206949.37902381644,0.3449535765997867,0.19900165108286882
44814599.32844369,2.458,45010295,195695.67155630887,0.326195334080597,0.0043477980216816816
44741253.01203053,0.8902,44854647,113393.987969473,0.1890107711339464,0.0025280321115774915
23690860.20145242,0.8123,24641790,950929.7985475808,1.585057353888229,0.03859012671350502
45181330.91050951,1.5683,44867972,313358.9105095118,0.5223223063028797,0.006984022155258362
41807400.35550396,0.5762,44082639,2275238.6444960386,3.792481580467249,0.05161303170837931
0.0,0.8958,0,0.0,0.0,0.0
48041837.25062291,1.4539,44655818,3386019.2506229132,5.6439862561930365,0.07582481751029425
44374521.42996471,0.567,44940844,566322.5700352937,0.9439747872854243,0.012601511667989451
42980941.41811459,0.474,44327540,1346598.5818854123,2.244577873375092,0.030378373848073056
46501564.60594647,0.454,45205133,1296431.6059464663,2.160957048519448,0.02867885834881774
44741253.01203053,2.0077,45271072,529818.987969473,0.8831287907827744,0.011703256948929175
46721603.55518596,1.262,45302739,1418864.5551859587,2.3650344124286318,0.031319619663304654
47014988.820838615,1.4974,45356340,1658648.8208386153,2.7647188204679436,0.036569282725162904
42394170.88680928,0.7078,44408919,2014748.113190718,3.358282933107172,0.04536809628693547
49875495.16095202,2.7422,45286000,4589495.160952017,7.65000010159787,0.10134467961294918
45768101.441814825,1.1758,45103983,664118.4418148249,1.1069858381335695,0.014724163979372398
0.0,1.2623,0,0.0,0.0,0.0
43641058.265833065,0.7,44442673,801614.7341669351,1.3361715358138313,0.018037050430493574
43714404.58224623,2.1903,45453889,1739484.417753771,2.8994596368163346,0.03826920987451197
42467517.20322244,1.5254,44400967,1933449.7967775613,3.2227708327542053,0.04354521821062053
45401369.85974901,0.6348,45276738,124631.8597490117,0.2077426179363258,0.0027526687048217056
45621408.8089885,0.553,45183568,437840.80898849666,0.7298149612932366,0.009690266359409613
45841447.75822799,1.3749,45211141,630306.7582279891,1.0506268326649082,0.013941403474599084
45328023.54333584,1.4461,44647408,680615.5433358401,1.1344840321366019,0.015244234185685317
40560512.97648017,1.3029,44907980,4347467.023519829,7.2465754958375905,0.09680834060048635
87648848.11373155,1.5397,89007709,1358860.8862684518,2.265017295683278,0.015266777468325264
32639110.803858444,1.606,34374333,1735222.196141556,2.89235515263605,0.05048017065935668
41660707.72267763,2.5093,45492096,3831388.277322367,6.386349627329618,0.08422096615030371
62637754.21684258,0.9147,63690323,1052568.7831574231,1.7544742974350898,0.016526353354455795
43054287.73452775,1.6723,44476404,1422116.2654722482,2.3704545257849166,0.031974623341227144
45621408.8089885,1.3635,45447899,173509.80898849666,0.28921482861197506,0.003817774040302648
36013041.358863994,0.6587,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
36013041.358863994,0.6002,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
43421019.31659357,1.358,44359230,938210.6834064275,1.5638564965586672,0.02115029236094557
45254677.22692268,1.2328,44967164,287513.2269226834,0.4792414280948961,0.006393848340595449
0.0,1.4429,0,0.0,0.0,0.0
43934443.53148572,1.6743,44996107,1061663.4685142785,1.7696337739055938,0.023594562714376124
45254677.22692268,5.5165,45003121,251556.22692268342,0.41930650191968355,0.0055897506957947075
0.0,2.2284,0,0.0,0.0,0.0
45474716.17616217,3.9652,45461872,12844.176162168384,0.021409315294963087,0.0002825263368426268
42394170.88680928,2.3472,45044859,2650688.113190718,4.4182995349333725,0.05884551915659716
44521214.06279104,2.4846,45659694,1138479.937208958,1.8976753062986227,0.024934024682884602
42320824.57039611,0.9972,44201779,1880954.4296038896,3.1352689289219975,0.04255381733852589
41000590.87495916,2.4379,44135976,3135385.1250408366,5.226216758911542,0.07103921583247273
1246887.3790238164,0.7304,1039938,206949.37902381644,0.3449535765997867,0.19900165108286882
59043784.712597534,0.6562,60591836,1548051.287402466,2.580369319629269,0.025548842708817503
38433469.80049841,0.433,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
43347673.00018041,0.5051,44497193,1149519.9998195916,1.9160774348838232,0.025833539653155012
44667906.69561736,1.4669,44497508,170398.69561736286,0.284029069226553,0.0038293986174992734
45841447.75822799,0.6394,45102625,738822.7582279891,1.231506729453555,0.016380925904600656
19656812.79872839,0.5334,19707065,50252.20127160847,0.08376288270311147,0.002549958670741101
45988140.39105432,0.5423,45147584,840556.3910543174,1.4010814373819742,0.018617970588510724
42614209.83604877,1.4981,45158461,2544251.163951233,4.240885103946822,0.05634051975223941
45841447.75822799,0.7026,45191566,649881.7582279891,1.0832554218097141,0.01438059832288151
43347673.00018041,0.61,44605964,1258290.9998195916,2.0973823784276133,0.028209030519317814
45548062.49257533,1.8727,45356978,191084.49257533252,0.3185091903031542,0.00421290176288492
44594560.3792042,2.1028,45268225,673664.6207958013,1.1228978867605457,0.014881622170867121
38433469.80049841,0.8769,38869902,436432.19950158894,0.7274670205415745,0.011228024179263147
43861097.21507256,2.6088,45486768,1625670.7849274427,2.709749380644275,0.03573942173529328
0.0,1.089,0,0.0,0.0,0.0
43861097.21507256,0.6743,44358716,497618.78492744267,0.829455881692724,0.011218061066678366
11221986.411214376,0.5075,11116763,105223.41121437587,0.17539164510492133,0.009465292299060065
90802739.7194976,1.6795,89678598,1124141.7194976062,1.8737756478172702,0.012535228522390661
47014988.820838615,1.739,45024333,1990655.8208386153,3.3181246951141548,0.04421288863598746
36013041.358863994,0.7592,39325339,3312297.6411360055,5.521103389932902,0.08422807597757785
41807400.35550396,1.4105,44786124,2978723.6444960386,4.965085566905757,0.0665099673393491
45841447.75822799,1.7303,44618603,1222844.758227989,2.038298809915739,0.027406612399495992
12982298.00513036,0.9883,13532753,550454.9948696401,0.9175259193005232,0.040675758647899664
43641058.265833065,0.8462,44194636,553577.7341669351,0.9227310573612015,0.012525903237825854
56990087.85302894,3.1409,55508002,1482085.8530289382,2.470414834013305,0.026700399935651407
44814599.32844369,0.8281,45068667,254067.67155630887,0.42349270345789514,0.005637346042568973
44227828.79713838,1.409,44220316,7512.797138378024,0.012522706061630152,0.00016989469587639364
43787750.89865939,0.5785,44538330,750579.1013406068,1.2511027902079341,0.01685243028511861
51049036.22356264,1.0572,51706063,657026.7764373571,1.0951650955561063,0.012706958107356909
46354871.97312014,1.242,45245972,1108899.973120138,1.8483699425605784,0.024508258395247604
45181330.91050951,0.4786,44794793,386537.9105095118,0.6443007239288185,0.00862908129767475
43421019.31659357,0.4536,44092684,671664.6834064275,1.1195642910827317,0.015233018779406296
42907595.10170142,1.1776,44674495,1766899.8982985765,2.9451571311153835,0.0395505287367787
48775300.41475456,1.2162,45050422,3724878.414754562,6.2088136607602875,0.08268243113803822
44961291.96127002,0.4842,45082942,121650.03872998059,0.2027723695106138,0.0026983606954927783
38506816.116911575,0.8378,40977302,2470485.883088425,4.117929444052887,0.060289129896556506
44007789.847898886,0.5352,44741010,733220.1521011144,1.2221680253179756,0.01638810013678981
45401369.85974901,1.9822,44981373,419996.8597490117,0.7000717741435086,0.009337128498701266
44814599.32844369,0.8647,44970628,156028.67155630887,0.2600763943305578,0.0034695684382328143
44521214.06279104,1.5301,44844011,322796.93720895797,0.538054081297206,0.0071982173318296165
