estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
1854.2808956806164,2.7753,-1,7,7,13,13,91,42,0,7,14,21,0,1854.9332806794935,0.6523849988770962,1.087427948536166e-06,0.00035170267614052217
387.5581678151601,0.755499,-1,54,36,17,17,612,163,15,45,27,76,0,0.0,387.5581678151601,0.0006460013398393159,0.0
1778.3406544628117,34.6141,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,1858.5036585365854,80.16300407377366,0.00013361970495716805,0.0431330891954742
1854.205169011395,3.678101,-1,1,1,5401,657,657,193,152,32,0,9,0,1881.0983785355922,26.893209524197346,4.4826946837814405e-05,0.014296546013257062
1814.274870512592,0.064699,-1,1,1,3,3,3,3,1,0,1,1,0,1814.1147746057275,0.16009590686462616,2.668558655862581e-07,8.825015324591068e-05
1645.007235728502,20.2227,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,1664.4660391625166,19.4588034340145,3.243490689644944e-05,0.011690718210030456
1832.9681056701031,0.339201,-1,7,7,17,17,119,70,21,28,7,14,0,1837.957068803016,4.988963132912886,8.315853298717669e-06,0.002714406782179079
1842.890596054632,0.0858,-1,1,1,13,13,13,13,1,5,3,4,0,1842.9984323520034,0.10783629737147749,1.7974693444858516e-07,5.8511334290099545e-05
1150.1717526160787,3.1183,-1,378,252,9,9,2268,1005,22,0,376,607,0,1101.4936425372057,48.67811007887303,8.113910876675274e-05,0.044192819821226345
1451.8249044729153,0.065,-1,1,1,4,4,4,4,1,2,0,1,0,1451.8343610748525,0.009456601937245068,1.5762737129826062e-08,6.513554294336964e-06
1853.869898434588,0.021301,-1,1,1,1,1,1,1,0,0,0,0,1,1853.869898434588,0.0,0.0,0.0
1711.2598022927396,3.6142,-1,1,1,919,916,916,916,610,260,46,0,0,1735.432750624331,24.172948331591442,4.029267941405462e-05,0.013929060819495943
1533.5514261205233,2.6236,-1,1,1,676,674,674,674,611,30,29,4,0,1521.0594681952475,12.491957925275756,2.082222031969476e-05,0.008212668989265483
1427.6361151807007,0.2141,-1,1,1,41,41,41,41,15,14,4,7,1,1427.326591459562,0.30952372113870297,5.159296208227954e-07,0.0002168555696998462
1852.7533106318576,0.106,-1,3,1,17,17,17,8,4,1,1,2,0,1856.795910567552,4.042599935694398,6.7384077843469405e-06,0.0021771913179508932
1824.635849056604,0.067099,-1,1,1,13,13,13,6,0,3,1,2,0,1827.4263074484945,2.7904583918905246,4.651275626803156e-06,0.0015269881912702917
1950.699361139957,0.194401,-1,1,1,42,42,42,42,6,5,15,16,0,1951.2631509679798,0.5637898280226636,9.397530862105893e-07,0.00028893582484913917
1877.1762223003868,11.4222,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,2051.6568670469505,174.4806447465637,0.0002908330662148898,0.08504377488702689
1845.8299388111889,2.5547,-1,1,1,2617,397,397,397,129,198,62,8,0,1851.7474447544726,5.917505943283686,9.86359490091191e-06,0.003195633378648081
1854.0559981349493,0.1091,-1,1,1,17,17,17,17,6,4,3,4,0,1854.2077051256415,0.15170699069221882,2.5287280049508584e-07,8.181768971882205e-05
1838.3576885337816,0.033099,-1,1,1,1,1,1,1,0,0,0,0,1,1838.3576885337818,2.2737367544323206e-13,3.7899781549842494e-19,1.2368304430710564e-16
1843.977607060052,0.0488,-1,1,1,9,9,9,9,1,0,4,4,0,1844.039775092335,0.062168032283125285,1.036247858649873e-07,3.3712956262026613e-05
1833.350659464892,3.735099,-1,1,1,5497,450,450,450,259,120,68,3,0,1844.7368421052631,11.38618264037109,1.8979058763749162e-05,0.006172253071813144
2104.4132272364327,60.596,3,1,1,425,221,221,221,0,0,0,221,0,2118.6282350055194,14.215007769086696,2.369428598660302e-05,0.00670953380787435
1847.9553251172629,0.062199,-1,1,1,1,1,1,1,0,0,0,0,1,1847.9553251172629,0.0,0.0,0.0
1852.295060520113,0.082,-1,21,7,1,1,7,7,0,0,0,0,7,1852.2950605201133,2.2737367544323206e-13,3.7899781549842494e-19,1.2275240607691675e-16
1868.99864828332,0.1164,-1,1,1,17,17,17,7,2,0,2,3,0,1870.7979804825156,1.7993321991955327,2.9992169125195983e-06,0.0009617993059472138
1842.2870422981885,0.5897,-1,1,1,17,17,17,17,6,4,3,4,0,1842.4279706963582,0.14092839816976266,2.349065033316376e-07,7.649058764370463e-05
1822.4705353126403,0.156701,-1,1,1,17,17,17,10,1,3,4,2,0,1826.1998415751953,3.7293062625549283,6.216194218955633e-06,0.0020421129044333954
1824.530339953698,7.097699,-1,1,1,5497,641,641,316,92,174,44,6,0,1861.6481614478598,37.11782149416172,6.186984150616854e-05,0.019938150646733415
1676.0014860944025,20.7136,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,1699.541810675317,23.540324580914557,3.9238190502479534e-05,0.013850982913777657
