estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_sums,absolute_error,normalized_error,relative_error
81145750.0,5.296601,-1,1,1,5497,818,818,818,506,276,35,1,0,68525037,12620713.0,21.03683571859571,0.18417666815707082
31326899.0,55.943899,3,1,1,288,108,108,108,0,0,0,108,0,40934164,9607265.0,16.013869859017824,0.2347004081969281
143426773.0,0.324499,-1,7,7,13,13,91,42,0,7,14,21,0,143263917,162856.0,0.27145652688462396,0.0011367551816972867
956106.0,0.841999,-1,54,36,17,17,612,163,15,45,27,76,0,0,956106.0,1.5936853053835922,0.0
100157924.0,26.8861,-1,1,1,34960,2724,2724,2724,99,1759,802,64,0,71626731,28531193.0,47.55721962749236,0.398331636829831
29127709.0,4.174801,-1,1,1,5401,657,657,193,152,32,0,9,0,25870746,3256963.0,5.428868842239313,0.12589366383172715
40632500.0,0.1292,-1,1,1,3,3,3,3,1,0,1,1,0,40605331,27169.0,0.045286648197968446,0.0006690993357497812
88437234.0,18.5787,-1,1,1,29233,2326,2326,2326,72,1561,625,68,0,63837266,24599968.0,41.00445715695393,0.38535434772535526
39826731.0,0.830801,-1,7,7,17,17,119,70,21,28,7,14,0,39001449,825282.0,1.3756213183450179,0.021160290736890314
277552224.0,0.118499,-1,1,1,13,13,13,13,1,5,3,4,0,277452356,99868.0,0.16646497781422623,0.00035994648392893803
18355591.0,3.0852,-1,378,252,9,9,2268,1005,22,0,376,607,0,15246875,3108716.0,5.181763327299336,0.2038920106579217
32295845.0,0.108799,-1,1,1,4,4,4,4,1,2,0,1,0,32255404,40441.0,0.06740908166564989,0.001253774406297934
159165854.0,0.0458,-1,1,1,1,1,1,1,0,0,0,0,1,159165854,0.0,0.0,0.0
82400582.0,3.646301,-1,1,1,919,916,916,916,610,260,46,0,0,68101852,14298730.0,23.833838388889443,0.2099609567152447
71509503.0,2.681399,-1,1,1,676,674,674,674,611,30,29,4,0,60235476,11274027.0,18.792112132334555,0.1871658987139074
217304776.0,0.327199,-1,1,1,41,41,41,41,15,14,4,7,1,216862293,442483.0,0.7375527974743888,0.002040386984195542
9793654.0,0.202999,-1,3,1,17,17,17,8,4,1,1,2,0,9716613,77041.0,0.12841579240383108,0.007928791647871537
5802342.0,0.1114,-1,1,1,13,13,13,6,0,3,1,2,0,5765530,36812.0,0.061360082942457005,0.006384842330193408
296791105.0,0.2106,-1,1,1,42,42,42,42,6,5,15,16,0,296525656,265449.0,0.4424636710038104,0.0008951974125301319
32020872.0,9.6994,-1,7,7,16585,223,1561,1366,0,63,1226,77,0,23378630,8642242.0,14.405321252004388,0.3696641762156294
253395534.0,2.4784,-1,1,1,2617,397,397,397,129,198,62,8,0,248204524,5191010.0,8.652635123196886,0.020914244093310726
278349427.0,0.108001,-1,1,1,17,17,17,17,6,4,3,4,0,278186782,162645.0,0.27110482153036836,0.0005846611360564212
157378125.0,0.035901,-1,1,1,1,1,1,1,0,0,0,0,1,157378125,0.0,0.0,0.0
279154238.0,0.0524,-1,1,1,9,9,9,9,1,0,4,4,0,279097264,56974.0,0.09496711304910206,0.00020413671987841485
145953046.0,3.744601,-1,1,1,5497,450,450,450,259,120,68,3,0,139183550,6769496.0,11.283734544133187,0.04863718449486308
76430184.0,58.055,3,1,1,425,221,221,221,0,0,0,221,0,69092704,7337480.0,12.230478685988793,0.10619760951894429
80371273.0,0.0702,-1,1,1,1,1,1,1,0,0,0,0,1,80371273,0.0,0.0,0.0
556422027.0,0.0555,-1,21,7,1,1,7,7,0,0,0,0,7,556422027,0.0,0.0,0.0
27653704.0,0.1114,-1,1,1,17,17,17,7,2,0,2,3,0,27605495,48209.0,0.08035717262232178,0.0017463552093523408
278837513.0,0.1154,-1,1,1,17,17,17,17,6,4,3,4,0,278656176,181337.0,0.30226158210736515,0.000650755359536693
16205408.0,0.105299,-1,1,1,17,17,17,10,1,3,4,2,0,16138128,67280.0,0.1121456693569626,0.004169008945771158
29947841.0,7.288501,-1,1,1,5497,641,641,316,92,174,44,6,0,25921589,4026252.0,6.711158227405014,0.15532427429506732
189468616.0,20.3905,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,144078657,45389959.0,75.65825407461487,0.3150359667775082
83630898.0,2.9215,-1,1,1,730,728,728,728,671,24,29,4,0,71122043,12508855.0,20.85038520903966,0.17587873565442996
30898778.0,6.1979,-1,1,1,8257,1198,1198,430,261,137,26,6,0,24283148,6615630.0,11.027262998929883,0.27243708270443356
56642326.0,57.680199,3,1,1,360,198,198,198,0,0,0,198,0,63049174,6406848.0,10.679254718018981,0.10161668414561624
168210186.0,34.186,-1,7,7,19248,2061,14427,8022,374,7403,133,112,0,69932299,98277887.0,163.81449792810542,1.405328988254769
3961333.0,0.336,-1,1,1,17,17,17,7,4,0,2,1,0,3858983,102350.0,0.1706020995642854,0.02652253197280216
8153061.0,0.1002,-1,1,1,13,13,13,4,0,1,0,3,0,8145000,8061.0,0.013436478012581384,0.0009896869244935542
277572688.0,0.110201,-1,1,1,17,17,17,17,6,4,3,4,0,277413359,159329.0,0.26557754686348833,0.0005743378782274145
7016874.0,1.512201,-1,154,77,17,17,1309,513,0,175,301,37,0,3031571,3985303.0,6.642902385929119,1.3145999219546565
167109332.0,7.4478,-1,7,7,8257,697,4879,907,664,0,187,56,0,153734299,13375033.0,22.294174025809507,0.08700096912010508
39750873.0,0.1316,-1,1,1,17,17,17,17,1,5,8,3,0,39627019,123854.0,0.2064460423979971,0.003125493744558479
182866051.0,9.122301,-1,1,1,16478,938,938,938,732,21,169,16,0,168093004,14773047.0,24.624453689905888,0.08788615021717382
26172923.0,0.115099,-1,1,1,13,13,13,6,1,1,1,3,0,26141397,31526.0,0.052549113735844276,0.0012059799252503605
39550828.0,0.074499,-1,1,1,13,13,13,13,1,5,3,4,0,39438555,112273.0,0.18714225231442125,0.002846782799217669
39867889.0,0.091201,-1,1,1,17,17,17,17,6,4,3,4,0,39699863,168026.0,0.2800741414888971,0.0042324075526406725
58113432.0,4.157799,-1,1,1,5401,682,682,682,487,176,18,1,0,47012541,11100891.0,18.503520387242595,0.23612616471847372
197995041.0,6.6867,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,178732942,19262099.0,32.10703010664506,0.10777027885547813
79386984.0,0.064101,-1,1,1,1,1,1,1,0,0,0,0,1,79386984,0.0,0.0,0.0
151525597.0,5.722901,-1,1,1,8257,784,784,784,499,233,49,3,0,139251681,12273916.0,20.4587771321512,0.08814195930604242
213389816.0,18.749201,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,155589822,57799994.0,96.34392116466145,0.3714895566883546
294208362.0,0.2225,-1,1,1,22,22,22,22,4,5,5,7,1,294053889,154473.0,0.25748332316554823,0.0005253220779542215
44065874.0,3.341,-1,462,308,5,5,1540,1251,242,493,516,0,0,30242200,13823674.0,23.041991285708093,0.45709882217563536
227226730.0,16.996099,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,180828043,46398687.0,77.33965236175979,0.2565901075421139
16736079.0,2.867801,-1,1,1,883,882,882,581,312,259,6,4,0,7824379,8911700.0,14.854467324739055,1.1389657888504634
10293398.0,0.136201,-1,1,1,17,17,17,9,3,4,0,2,0,10176294,117104.0,0.19519480476185713,0.011507529165332684
188345222.0,2.6594,-1,1,1,5401,179,179,179,120,42,12,5,0,185610782,2734440.0,4.557901369150606,0.014732118309808102
102746339.0,3.2149,-1,1,1,919,917,917,917,611,260,46,0,0,88395038,14351301.0,23.921466361299743,0.16235414707327803
17529737.0,2.006801,-1,1,1,649,644,644,351,315,0,32,4,0,11634416,5895321.0,9.826615927752053,0.5067139596865026
215258001.0,0.0476,-1,1,1,4,4,4,4,1,2,0,1,0,215213523,44478.0,0.07413815519707168,0.0002066691692045764
279587188.0,0.0537,-1,1,1,9,9,9,9,1,0,4,4,0,279530612,56576.0,0.09430370674107486,0.00020239643735334433
279078921.0,0.083499,-1,1,1,17,17,17,17,6,4,3,4,0,278862996,215925.0,0.35991459060496656,0.0007743049565457584
80371273.0,0.0241,-1,1,1,1,1,1,1,0,0,0,0,1,80371273,0.0,0.0,0.0
39166112.0,0.0157,-1,1,1,1,1,1,1,0,0,0,0,1,39166112,0.0,0.0,0.0
157378125.0,0.014399,-1,1,1,1,1,1,1,0,0,0,0,1,157378125,0.0,0.0,0.0
9784541.0,0.4049,-1,54,36,5,5,180,144,28,57,59,0,0,8224818,1559723.0,2.5998243140078743,0.18963617188854515
92565335.0,5.942201,-1,7,7,5497,702,4914,867,102,429,294,42,0,83689079,8876256.0,14.795387492624188,0.10606229756692627
39937950.0,0.1423,-1,1,1,17,17,17,17,6,4,3,4,0,39782624,155326.0,0.2589051462327523,0.0039043678968989073
258261777.0,1.9173,-1,1,1,2521,256,256,256,42,181,23,10,0,255038316,3223461.0,5.373026032863615,0.012639124389450564
95373293.0,18.3519,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,67864200,27509093.0,45.85353222187774,0.4053550030796797
33287664.0,0.2074,-1,1,1,13,13,13,9,1,4,0,4,0,33213981,73683.0,0.12281851003610397,0.0022184332555618674
106765791.0,41.734799,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,81401331,25364460.0,42.27875066257288,0.31159760766073963
82983501.0,3.2611,-1,1,1,919,917,917,917,611,260,46,0,0,68375559,14607942.0,24.349248417325907,0.21364274330832161
273587076.0,2.7166,-1,1,1,5401,164,164,164,120,28,9,7,0,271051013,2536063.0,4.227236662699563,0.009356404803401344
78337174.0,0.273,-1,21,7,17,17,119,56,28,0,14,14,0,77769424,567750.0,0.9463540989508846,0.0073004269647155935
42079040.0,11.0323,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,23214223,18864817.0,31.444820596932328,0.8126404661487054
29226089.0,2.813399,-1,378,252,9,9,2268,955,29,0,439,487,0,25564385,3661704.0,6.103511386252488,0.14323458201713046
280051685.0,0.1362,-1,1,1,9,9,9,9,1,0,4,4,0,280010402,41283.0,0.06881256938263208,0.00014743380854829815
53723019.0,3.8728,-1,1,1,8257,240,240,240,210,21,9,0,0,49449481,4273538.0,7.123346901492497,0.08642230238978646
35884185.0,3.648101,-1,1,1,8353,215,215,169,134,14,15,6,0,33174837,2709348.0,4.516076768444529,0.08166876599875984
20333808.0,2.7869,-1,1,1,937,933,933,598,334,254,6,4,0,11189251,9144557.0,15.24260501988552,0.8172626568123282
18893072.0,2.9508,-1,1,1,973,971,971,636,336,254,46,0,0,9498879,9394193.0,15.6587107915204,0.9889791205888611
47840496.0,3.370699,-1,7,7,5401,127,889,386,274,49,42,21,0,41986503,5853993.0,9.757728350118514,0.13942559112389047
79652839.0,0.059401,-1,3,1,1,1,1,1,0,0,0,0,1,79652839,0.0,0.0,0.0
94446325.0,3.7821,-1,1,1,937,931,931,931,667,254,6,4,0,79280460,15165865.0,25.27922238112859,0.1912938572758029
228155958.0,20.0183,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,167631793,60524165.0,100.88470565095494,0.3610542124309319
164443391.0,13.1252,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,126204362,38239029.0,63.73872625988859,0.30299292666286765
81406977.0,3.7353,-1,1,1,973,969,969,969,669,254,46,0,0,65827392,15579585.0,25.96883157147286,0.23667328336507695
39253526.0,4.221401,-1,1,1,8257,281,281,218,177,28,6,7,0,35610130,3643396.0,6.072994696083236,0.10231347091403485
141698054.0,64.3352,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,69354446,72343608.0,120.58594445388992,1.0430997891613178
11048948.0,6.297301,-1,1,1,15352,304,304,169,70,7,78,14,0,9093875,1955073.0,3.258813469481643,0.21498789020082198
245989452.0,2.2857,-1,1,1,5497,104,104,104,60,21,18,5,0,244591041,1398411.0,2.330941403554391,0.005717343506461465
39146254.0,0.0852,-1,1,1,13,13,13,13,1,5,3,4,0,39055240,91014.0,0.1517066877356509,0.0023303915172458293
42668322.0,52.6158,3,1,1,425,204,204,204,0,0,0,204,0,40465612,2202710.0,3.6715872079262053,0.05443412050706165
153100649.0,18.684,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,114420542,38680107.0,64.47393713308463,0.3380521217947036
37244579.0,0.2664,-1,3,3,13,13,39,31,2,12,8,9,0,36977344,267235.0,0.44544066513983205,0.007226992831069749
279352735.0,0.1269,-1,1,1,17,17,17,17,6,4,3,4,0,279170696,182039.0,0.3034317108215237,0.0006520705883829584
317359103.0,0.0342,-1,1,1,4,4,4,4,1,2,0,1,0,317324081,35022.0,0.0583764214063547,0.00011036666328516051
66156767.0,12.2198,-1,1,1,25097,1051,1051,1051,111,72,800,68,0,58244217,7912550.0,13.189034127087313,0.13585125541304813
43374169.0,50.6189,3,1,1,450,162,162,162,0,0,0,162,0,45552683,2178514.0,3.631256104838199,0.04782405462264429
228430097.0,24.0106,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0,173124141,55305956.0,92.18673387405948,0.31945837062665916
228168908.0,18.5708,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,170190180,57978728.0,96.64184393616631,0.340670231384678
19760131.0,2.053601,-1,1,1,4849,100,100,79,39,21,18,1,0,18659370,1100761.0,1.8348034950511223,0.05899239899310641
278420885.0,0.1071,-1,1,1,17,17,17,17,6,4,3,4,0,278236654,184231.0,0.3070854460657339,0.0006621377785832631
86714277.0,2.3729,-1,1,1,730,727,727,727,670,24,29,4,0,74250805,12463472.0,20.774738554574338,0.16785638889706314
220244064.0,0.196901,-1,1,1,42,42,42,42,6,5,15,16,0,220004776,239288.0,0.3988572076261722,0.0010876491153992039
9925437.0,0.068901,-1,3,1,17,17,17,7,2,2,1,2,0,9864053,61384.0,0.10231792163804686,0.006222999815593043
16827838.0,1.7211,-1,1,1,676,673,673,384,321,30,29,4,0,10229130,6598708.0,10.999056562888585,0.6450898561265719
39739384.0,0.075999,-1,1,1,13,13,13,13,1,5,3,4,0,39641535,97849.0,0.16309960762350525,0.0024683453857172787
292356516.0,0.0948,-1,1,1,22,22,22,22,4,5,5,7,1,292185035,171481.0,0.2858331083085806,0.0005868917961523937
11018123.0,0.0908,-1,1,1,24,24,24,19,1,5,5,7,1,10909485,108638.0,0.18108325249110735,0.009958123596118423
0.0,0.1425,-1,7,0,17,17,0,0,0,0,0,0,0,0,0.0,0.0,0.0
126766683.0,20.9105,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,57162141,69604542.0,116.02033223654603,1.217668561434744
79707310.0,41.6365,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,54151480,25555830.0,42.5977357509326,0.471932253744496
278092483.0,0.138599,-1,1,1,17,17,17,17,6,4,3,4,0,277907265,185218.0,0.3087306270356406,0.0006664741204228684
159165854.0,0.0341,-1,1,1,1,1,1,1,0,0,0,0,1,159165854,0.0,0.0,0.0
264906240.0,3.9571,-1,1,1,5401,693,693,693,484,152,48,9,0,253913248,10992992.0,18.323668936916395,0.04329428293556388
266356799.0,4.058899,-1,1,1,5497,720,720,720,482,172,58,8,0,255254144,11102655.0,18.506460710678173,0.04349647306803372
118630149.0,3.4459,-1,1,1,5401,524,524,524,240,254,27,3,0,110828833,7801316.0,13.003623731943847,0.07039067171265802
49644770.0,49.5539,3,1,1,360,162,162,162,0,0,0,162,0,51501183,1856413.0,3.094362046491781,0.036046026360210016
7294086.0,0.818,-1,54,36,17,17,612,160,21,31,45,63,0,6176994,1117092.0,1.8620248227305003,0.18084718877823097
28712861.0,0.1052,-1,1,1,17,17,17,12,4,2,2,4,0,28599402,113459.0,0.18911913643834155,0.003967180852242995
60055460.0,21.5973,-1,1,1,19208,4413,4413,2698,1045,1629,7,17,0,21419706,38635754.0,64.40000733414008,1.8037480999972642
