estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_mins,absolute_error,normalized_error,relative_error
0.0,0.1203,-1,1,1,17,17,17,7,2,0,2,3,0,0,0.0,0.0,0.0
0.0,0.1231,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.1114,-1,1,1,17,17,17,10,1,3,4,2,0,0,0.0,0.0,0.0
0.0,6.61,-1,1,1,5497,641,641,316,92,174,44,6,0,0,0.0,0.0,0.0
0.0,19.7562,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,0,0.0,0.0,0.0
0.0,3.2519,-1,1,1,730,728,728,728,671,24,29,4,0,0,0.0,0.0,0.0
0.0,6.4544,-1,1,1,8257,1198,1198,430,261,137,26,6,0,0,0.0,0.0,0.0
432.0,58.5189,3,1,1,360,198,198,198,0,0,0,198,0,0,432.0,0.0007200792087129585,0.0
0.0,34.126,-1,7,7,19248,2061,14427,8022,374,7403,133,112,0,0,0.0,0.0,0.0
0.0,0.2033,-1,1,1,17,17,17,7,4,0,2,1,0,0,0.0,0.0,0.0
0.0,0.0897,-1,1,1,13,13,13,4,0,1,0,3,0,0,0.0,0.0,0.0
0.0,0.1396,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
1257.0,1.6077,-1,154,77,17,17,1309,513,0,175,301,37,0,0,1257.0,0.002095230475352289,0.0
0.0,7.8426,-1,7,7,8257,697,4879,907,664,0,187,56,0,0,0.0,0.0,0.0
0.0,0.1804,-1,1,1,17,17,17,17,1,5,8,3,0,0,0.0,0.0,0.0
0.0,9.4788,-1,1,1,16478,938,938,938,732,21,169,16,0,0,0.0,0.0,0.0
0.0,0.1307,-1,1,1,13,13,13,6,1,1,1,3,0,0,0.0,0.0,0.0
0.0,0.0961,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
0.0,0.1165,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,4.4969,-1,1,1,5401,682,682,682,487,176,18,1,0,0,0.0,0.0,0.0
0.0,7.179,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,0,0.0,0.0,0.0
0.0,0.076,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,5.7715,-1,1,1,8257,784,784,784,499,233,49,3,0,0,0.0,0.0,0.0
0.0,19.539,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,0,0.0,0.0,0.0
0.0,0.2092,-1,1,1,22,22,22,22,4,5,5,7,1,0,0.0,0.0,0.0
1166.0,3.1865,-1,462,308,5,5,1540,1251,242,493,516,0,0,0,1166.0,0.0019435471235169201,0.0
0.0,17.3176,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,0,0.0,0.0,0.0
0.0,2.9826,-1,1,1,883,882,882,581,312,259,6,4,0,0,0.0,0.0,0.0
0.0,0.1776,-1,1,1,17,17,17,9,3,4,0,2,0,0,0.0,0.0,0.0
0.0,2.8569,-1,1,1,5401,179,179,179,120,42,12,5,0,0,0.0,0.0,0.0
0.0,3.9233,-1,1,1,919,917,917,917,611,260,46,0,0,0,0.0,0.0,0.0
0.0,2.0693,-1,1,1,649,644,644,351,315,0,32,4,0,0,0.0,0.0,0.0
0.0,0.0818,-1,1,1,4,4,4,4,1,2,0,1,0,0,0.0,0.0,0.0
0.0,0.0727,-1,1,1,9,9,9,9,1,0,4,4,0,0,0.0,0.0,0.0
0.0,0.1095,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.0386,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,0.0234,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,0.0229,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
682.0,0.4645,-1,54,36,5,5,180,144,28,57,59,0,0,2110,1428.0,0.002380261828801168,0.6767772511848341
0.0,6.3642,-1,7,7,5497,702,4914,867,102,429,294,42,0,0,0.0,0.0,0.0
0.0,0.156,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,2.0595,-1,1,1,2521,256,256,256,42,181,23,10,0,0,0.0,0.0,0.0
0.0,20.2582,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,0,0.0,0.0,0.0
0.0,0.2112,-1,1,1,13,13,13,9,1,4,0,4,0,0,0.0,0.0,0.0
0.0,44.9243,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,0,0.0,0.0,0.0
0.0,3.74,-1,1,1,919,917,917,917,611,260,46,0,0,0,0.0,0.0,0.0
0.0,3.0846,-1,1,1,5401,164,164,164,120,28,9,7,0,0,0.0,0.0,0.0
0.0,0.3249,-1,21,7,17,17,119,56,28,0,14,14,0,0,0.0,0.0,0.0
0.0,11.8793,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,0,0.0,0.0,0.0
479.0,3.0025,-1,378,252,9,9,2268,955,29,0,439,487,0,46,433.0,0.0007217460587331273,9.41304347826087
0.0,0.1593,-1,1,1,9,9,9,9,1,0,4,4,0,0,0.0,0.0,0.0
0.0,4.2538,-1,1,1,8257,240,240,240,210,21,9,0,0,0,0.0,0.0,0.0
0.0,4.3122,-1,1,1,8353,215,215,169,134,14,15,6,0,0,0.0,0.0,0.0
0.0,3.3658,-1,1,1,937,933,933,598,334,254,6,4,0,0,0.0,0.0,0.0
0.0,3.3021,-1,1,1,973,971,971,636,336,254,46,0,0,0,0.0,0.0,0.0
0.0,3.4051,-1,7,7,5401,127,889,386,274,49,42,21,0,0,0.0,0.0,0.0
0.0,0.0696,-1,3,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,3.4262,-1,1,1,937,931,931,931,667,254,6,4,0,0,0.0,0.0,0.0
615.0,21.6934,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,0,615.0,0.0010251127624038643,0.0
0.0,17.3536,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,0,0.0,0.0,0.0
0.0,4.8082,-1,1,1,973,969,969,969,669,254,46,0,0,0,0.0,0.0,0.0
0.0,4.4346,-1,1,1,8257,281,281,218,177,28,6,7,0,0,0.0,0.0,0.0
382.0,68.221,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,0,382.0,0.0006367367077045142,0.0
219.0,6.7611,-1,1,1,15352,304,304,169,70,7,78,14,0,0,219.0,0.0003650401544169859,0.0
0.0,2.5911,-1,1,1,5497,104,104,104,60,21,18,5,0,0,0.0,0.0,0.0
0.0,0.115,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
350.0,54.5224,3,1,1,425,204,204,204,0,0,0,204,0,0,350.0,0.0005833975070591098,0.0
0.0,21.6091,-1,1,1,16712,2314,2314,2314,2073,40,190,11,0,0,0.0,0.0,0.0
0.0,0.2628,-1,3,3,13,13,39,31,2,12,8,9,0,0,0.0,0.0,0.0
0.0,0.0977,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.0347,-1,1,1,4,4,4,4,1,2,0,1,0,0,0.0,0.0,0.0
0.0,12.8906,-1,1,1,25097,1051,1051,1051,111,72,800,68,0,0,0.0,0.0,0.0
390.0,53.8084,3,1,1,450,162,162,162,0,0,0,162,0,0,390.0,0.0006500715078658653,0.0
0.0,24.8451,-1,1,1,19497,3815,3815,3815,1481,2307,10,17,0,0,0.0,0.0,0.0
0.0,20.492,-1,1,1,19564,4165,4165,4165,1626,2189,350,0,0,0,0.0,0.0,0.0
0.0,2.2273,-1,1,1,4849,100,100,79,39,21,18,1,0,0,0.0,0.0,0.0
0.0,0.1155,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,2.5691,-1,1,1,730,727,727,727,670,24,29,4,0,0,0.0,0.0,0.0
0.0,0.2087,-1,1,1,42,42,42,42,6,5,15,16,0,0,0.0,0.0,0.0
0.0,0.1103,-1,3,1,17,17,17,7,2,2,1,2,0,0,0.0,0.0,0.0
0.0,1.9255,-1,1,1,676,673,673,384,321,30,29,4,0,0,0.0,0.0,0.0
0.0,0.1039,-1,1,1,13,13,13,13,1,5,3,4,0,0,0.0,0.0,0.0
0.0,0.1237,-1,1,1,22,22,22,22,4,5,5,7,1,0,0.0,0.0,0.0
0.0,0.1139,-1,1,1,24,24,24,19,1,5,5,7,1,0,0.0,0.0,0.0
2147483647.0,0.133,-1,7,0,17,17,0,0,0,0,0,0,0,2147483647,0.0,0.0,0.0
1370.0,22.6075,-1,7,7,16554,2274,15918,4779,3324,59,1319,77,0,0,1370.0,0.0022835845276313726,0.0
0.0,47.1037,-1,1,1,102145,2288,2288,2288,359,1236,625,68,0,0,0.0,0.0,0.0
0.0,0.1584,-1,1,1,17,17,17,17,6,4,3,4,0,0,0.0,0.0,0.0
0.0,0.037,-1,1,1,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0
0.0,4.3773,-1,1,1,5401,693,693,693,484,152,48,9,0,0,0.0,0.0,0.0
0.0,4.3162,-1,1,1,5497,720,720,720,482,172,58,8,0,0,0.0,0.0,0.0
0.0,3.6619,-1,1,1,5401,524,524,524,240,254,27,3,0,0,0.0,0.0,0.0
