estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_maxs,absolute_error,normalized_error,relative_error
9731.0,0.0657,-1,21,7,1,1,7,7,0,0,0,0,7,9950,219.0,0.0003650401544169859,0.022010050251256283
9344.0,0.133,-1,1,1,17,17,17,7,2,0,2,3,0,9764,420.0,0.0007000770084709318,0.043015157722244984
9599.0,0.1296,-1,1,1,17,17,17,17,6,4,3,4,0,9764,165.0,0.00027503025332786606,0.01689881196231053
9177.0,0.1276,-1,1,1,17,17,17,10,1,3,4,2,0,9731,554.0,0.0009234349111735624,0.0569314561709999
8031.0,10.7593,-1,1,1,5497,641,641,316,92,174,44,6,0,9424,1393.0,0.002321922078095257,0.14781409168081494
2597.0,30.3589,-1,1,1,19333,3229,3229,3229,1073,2120,20,16,0,4165,1568.0,0.002613620831624812,0.3764705882352941
6048.0,3.6546,-1,1,1,730,728,728,728,671,24,29,4,0,6144,96.0,0.000160017601936213,0.015625
8928.0,10.1622,-1,1,1,8257,1198,1198,430,261,137,26,6,0,9599,671.0,0.001118456363533322,0.06990311490780289
2663.0,64.3256,3,1,1,360,198,198,198,0,0,0,198,0,4375,1712.0,0.0028536472345291317,0.3913142857142857
2594.0,41.8845,-1,7,7,19248,2061,14427,8022,374,7403,133,112,0,4197,1603.0,0.002671960582330723,0.3819394805813676
8957.0,0.2803,-1,1,1,17,17,17,7,4,0,2,1,0,9764,807.0,0.0013451479662762904,0.08265055305202786
8313.0,0.1828,-1,1,1,13,13,13,4,0,1,0,3,0,9089,776.0,0.001293475615651055,0.08537792936516668
9599.0,0.1937,-1,1,1,17,17,17,17,6,4,3,4,0,9950,351.0,0.0005850643570792787,0.03527638190954774
838.0,2.2664,-1,154,77,17,17,1309,513,0,175,301,37,0,8617,7779.0,0.012966426306893758,0.9027503771614251
5717.0,15.1946,-1,7,7,8257,697,4879,907,664,0,187,56,0,9950,4233.0,0.007055776135374892,0.42542713567839197
9321.0,0.2201,-1,1,1,17,17,17,17,1,5,8,3,0,9734,413.0,0.0006884090583297496,0.04242860078076844
3399.0,16.194,-1,1,1,16478,938,938,938,732,21,169,16,0,4961,1562.0,0.0026036197315037987,0.3148558758314856
9344.0,0.1474,-1,1,1,13,13,13,6,1,1,1,3,0,9764,420.0,0.0007000770084709318,0.043015157722244984
9234.0,0.1091,-1,1,1,13,13,13,13,1,5,3,4,0,9870,636.0,0.001060116612827411,0.06443768996960486
9033.0,0.1281,-1,1,1,17,17,17,17,6,4,3,4,0,9759,726.0,0.0012101331146426107,0.07439286812173379
9599.0,6.6328,-1,1,1,5401,682,682,682,487,176,18,1,0,9764,165.0,0.00027503025332786606,0.01689881196231053
9103.0,10.7712,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,9810,707.0,0.0011784629642594018,0.07206931702344546
9870.0,0.0814,-1,1,1,1,1,1,1,0,0,0,0,1,9870,0.0,0.0,0.0
9495.0,9.2856,-1,1,1,8257,784,784,784,499,233,49,3,0,9764,269.0,0.0004483826554254301,0.027550184350675952
2299.0,26.9799,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,3917,1618.0,0.002696963332633256,0.4130712279805974
4099.0,0.211,-1,1,1,22,22,22,22,4,5,5,7,1,4741,642.0,0.0010701177129484242,0.13541446952119807
1555.0,3.3439,-1,462,308,5,5,1540,1251,242,493,516,0,0,5879,4324.0,0.007207459487210259,0.7354992345637014
3399.0,25.5638,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,5014,1615.0,0.0026919627825727497,0.322098125249302
4151.0,3.0163,-1,1,1,883,882,882,581,312,259,6,4,0,4887,736.0,0.0012268016148442996,0.1506036423163495
9009.0,0.1282,-1,1,1,17,17,17,9,3,4,0,2,0,9424,415.0,0.0006917427583700874,0.0440365025466893
9234.0,2.8057,-1,1,1,5401,179,179,179,120,42,12,5,0,9950,716.0,0.0011934646144409217,0.07195979899497487
5582.0,3.5446,-1,1,1,919,917,917,917,611,260,46,0,0,7303,1721.0,0.0028686488847106516,0.23565657948788168
5495.0,2.0387,-1,1,1,649,644,644,351,315,0,32,4,0,6752,1257.0,0.002095230475352289,0.18616706161137442
4967.0,0.2274,-1,1,1,4,4,4,4,1,2,0,1,0,4967,0.0,0.0,0.0
9719.0,0.1192,-1,1,1,9,9,9,9,1,0,4,4,0,9764,45.0,7.500825090759983e-05,0.004608766898811963
9599.0,0.1614,-1,1,1,17,17,17,17,6,4,3,4,0,9764,165.0,0.00027503025332786606,0.01689881196231053
9870.0,0.0655,-1,1,1,1,1,1,1,0,0,0,0,1,9870,0.0,0.0,0.0
9759.0,0.0434,-1,1,1,1,1,1,1,0,0,0,0,1,9759,0.0,0.0,0.0
9950.0,0.0363,-1,1,1,1,1,1,1,0,0,0,0,1,9950,0.0,0.0,0.0
3431.0,0.616,-1,54,36,5,5,180,144,28,57,59,0,0,6593,3162.0,0.0052705797637740154,0.4795995753071439
